"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","view_history","response"
"8510","{""Q0"":""WA_010""}","survey-text","0","8524","0.0-0.0-0.0","","","",""
"5507.799999713898","","html-keyboard-response","1","14034","0.0-1.0","<p style=""font-size:30px;"">Welcome to the experiment!</p><p style=""font-size:30px;""> You will read instructions for the game</p><p style=""font-size:30px;""> while we take a scan.</p><br><p style=""font-size:30px;"">Press ""3"" with your middle finger to read the instructions.</p></br>","3","",""
"104641","","instructions","2","118677","0.0-2.0","","","[{""page_index"":0,""viewing_time"":4603.400000095367},{""page_index"":1,""viewing_time"":4043.800000190735},{""page_index"":2,""viewing_time"":6279},{""page_index"":3,""viewing_time"":5411.699999809265},{""page_index"":4,""viewing_time"":9166.099999904633},{""page_index"":5,""viewing_time"":6179.5},{""page_index"":6,""viewing_time"":5601},{""page_index"":7,""viewing_time"":4174.900000095367},{""page_index"":8,""viewing_time"":4866},{""page_index"":9,""viewing_time"":4430},{""page_index"":10,""viewing_time"":3369.0999999046326},{""page_index"":11,""viewing_time"":2659.9000000953674},{""page_index"":12,""viewing_time"":6419.800000190735},{""page_index"":13,""viewing_time"":5075},{""page_index"":14,""viewing_time"":3148.0999999046326},{""page_index"":15,""viewing_time"":3775.9000000953674},{""page_index"":16,""viewing_time"":3751},{""page_index"":17,""viewing_time"":6215.799999713898},{""page_index"":18,""viewing_time"":4282.10000038147},{""page_index"":19,""viewing_time"":5451.89999961853},{""page_index"":20,""viewing_time"":4308},{""page_index"":21,""viewing_time"":1428.8000001907349}]",""
"3830.300000190735","","image-keyboard-response","3","122509","0.0-3.0-0.0","img/cat.png","","","1"
"null","","html-keyboard-response","4","124010","0.0-3.0-1.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2744.0999999046326","","image-keyboard-response","5","126756","0.0-3.0-2.0","img/fist.png","","","1"
"null","","html-keyboard-response","6","128257","0.0-3.0-3.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","7","129258","0.0-3.0-4.0","img/lost.png","","","null"
"null","","html-keyboard-response","8","130759","0.0-3.0-5.0","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"3704.4000000953674","","image-keyboard-response","9","134466","0.0-3.0-0.1","img/fist.png","","","2"
"null","","html-keyboard-response","10","135967","0.0-3.0-1.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1751.9000000953674","","image-keyboard-response","11","137720","0.0-3.0-2.1","img/grizzly.png","","","2"
"null","","html-keyboard-response","12","139222","0.0-3.0-3.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","13","140224","0.0-3.0-4.1","img/lost.png","","","null"
"null","","html-keyboard-response","14","141725","0.0-3.0-5.1","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"4720.199999809265","","image-keyboard-response","15","146446","0.0-3.0-0.2","img/stick.png","","","2"
"null","","html-keyboard-response","16","147947","0.0-3.0-1.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2081.9000000953674","","image-keyboard-response","17","150031","0.0-3.0-2.2","img/grizzly.png","","","2"
"null","","html-keyboard-response","18","151532","0.0-3.0-3.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","19","152534","0.0-3.0-4.2","img/lost.png","","","null"
"null","","html-keyboard-response","20","154036","0.0-3.0-5.2","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1815.2000002861023","","image-keyboard-response","21","155852","0.0-3.0-0.3","img/bow.png","","","1"
"null","","html-keyboard-response","22","157354","0.0-3.0-1.3","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2886.300000190735","","image-keyboard-response","23","160242","0.0-3.0-2.3","img/crow.png","","","1"
"null","","html-keyboard-response","24","161743","0.0-3.0-3.3","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","25","162745","0.0-3.0-4.3","img/won.png","","","null"
"null","","html-keyboard-response","26","164246","0.0-3.0-5.3","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"2862","","image-keyboard-response","27","167109","0.0-3.0-0.4","img/rock.png","","","2"
"null","","html-keyboard-response","28","168610","0.0-3.0-1.4","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1109.5999999046326","","image-keyboard-response","29","169722","0.0-3.0-2.4","img/cat.png","","","1"
"null","","html-keyboard-response","30","171223","0.0-3.0-3.4","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","31","172225","0.0-3.0-4.4","img/won.png","","","null"
"null","","html-keyboard-response","32","173726","0.0-3.0-5.4","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1817.7000002861023","","image-keyboard-response","33","175545","0.0-3.0-0.5","img/gun.png","","","1"
"null","","html-keyboard-response","34","177047","0.0-3.0-1.5","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2175.6000003814697","","image-keyboard-response","35","179224","0.0-3.0-2.5","img/goose.png","","","1"
"null","","html-keyboard-response","36","180725","0.0-3.0-3.5","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","37","181728","0.0-3.0-4.5","img/won.png","","","null"
"null","","html-keyboard-response","38","183229","0.0-3.0-5.5","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1851.5","","image-keyboard-response","39","185082","0.0-3.0-0.6","img/crow.png","","","1"
"null","","html-keyboard-response","40","186583","0.0-3.0-1.6","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2494.6000003814697","","image-keyboard-response","41","189080","0.0-3.0-2.6","img/gun.png","","","1"
"null","","html-keyboard-response","42","190581","0.0-3.0-3.6","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","43","191584","0.0-3.0-4.6","img/won.png","","","null"
"null","","html-keyboard-response","44","193085","0.0-3.0-5.6","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1598.6999998092651","","image-keyboard-response","45","194686","0.0-3.0-0.7","img/lion.png","","","2"
"null","","html-keyboard-response","46","196186","0.0-3.0-1.7","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1305.5","","image-keyboard-response","47","197493","0.0-3.0-2.7","img/grenade.png","","","1"
"null","","html-keyboard-response","48","198993","0.0-3.0-3.7","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","49","199995","0.0-3.0-4.7","img/won.png","","","null"
"null","","html-keyboard-response","50","201497","0.0-3.0-5.7","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"5304.299999713898","","html-keyboard-response","51","206802","0.0-4.0","<div><p style=""font-size:30px;"">You finished the instructions.</p><p style=""font-size:30px;"">The scan make take a few minutes longer.  </p><p style=""font-size:30px;"">Please relax and hold still until it is finished. </p><p style=""font-size:30px;"">We will tell you when the main game is ready to begin.</p><br><p style=""font-size:30px;""><b>Please press 3 to end.</b> </p></br></div>","3","",""
