"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","view_history","response"
"34836.39999997616","{""Q0"":""WA_001""}","survey-text","0","34851","0.0-0.0-0.0","","","",""
"5796.100000023842","","html-keyboard-response","1","40649","0.0-1.0","<p style=""font-size:30px;"">Welcome to the experiment!</p><p style=""font-size:30px;""> You will read instructions for the game</p><p style=""font-size:30px;""> while we take a scan.</p><br><p style=""font-size:30px;"">Press ""3"" with your middle finger to read the instructions.</p></br>","3","",""
"92060.79999995232","","instructions","2","132712","0.0-2.0","","","[{""page_index"":0,""viewing_time"":1754.6000000238419},{""page_index"":1,""viewing_time"":2226.6999999284744},{""page_index"":2,""viewing_time"":5373},{""page_index"":3,""viewing_time"":5732.899999976158},{""page_index"":4,""viewing_time"":9847.100000023842},{""page_index"":5,""viewing_time"":4338.899999976158},{""page_index"":6,""viewing_time"":6706.800000071526},{""page_index"":7,""viewing_time"":3438},{""page_index"":8,""viewing_time"":4799.899999976158},{""page_index"":9,""viewing_time"":2061.2999999523163},{""page_index"":10,""viewing_time"":2514.7000000476837},{""page_index"":11,""viewing_time"":2364.899999976158},{""page_index"":12,""viewing_time"":6551},{""page_index"":13,""viewing_time"":4230},{""page_index"":14,""viewing_time"":1933.8000000715256},{""page_index"":15,""viewing_time"":4017},{""page_index"":16,""viewing_time"":5645},{""page_index"":17,""viewing_time"":3176.899999976158},{""page_index"":18,""viewing_time"":3989.100000023842},{""page_index"":19,""viewing_time"":6194.799999952316},{""page_index"":20,""viewing_time"":3950.100000023842},{""page_index"":21,""viewing_time"":1213.8999999761581}]",""
"3500.600000023842","","image-keyboard-response","3","136217","0.0-3.0-0.0","img/gun.png","","","1"
"null","","html-keyboard-response","4","137718","0.0-3.0-1.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"3040","","image-keyboard-response","5","140760","0.0-3.0-2.0","img/goose.png","","","1"
"null","","html-keyboard-response","6","142261","0.0-3.0-3.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","7","143264","0.0-3.0-4.0","img/won.png","","","null"
"null","","html-keyboard-response","8","144766","0.0-3.0-5.0","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"2966","","image-keyboard-response","9","147734","0.0-3.0-0.1","img/crow.png","","","1"
"null","","html-keyboard-response","10","149236","0.0-3.0-1.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1983.2999999523163","","image-keyboard-response","11","151221","0.0-3.0-2.1","img/gun.png","","","1"
"null","","html-keyboard-response","12","152723","0.0-3.0-3.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","13","153726","0.0-3.0-4.1","img/won.png","","","null"
"null","","html-keyboard-response","14","155227","0.0-3.0-5.1","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"2260.7000000476837","","image-keyboard-response","15","157489","0.0-3.0-0.2","img/rock.png","","","2"
"null","","html-keyboard-response","16","158990","0.0-3.0-1.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2590.2000000476837","","image-keyboard-response","17","161582","0.0-3.0-2.2","img/cat.png","","","1"
"null","","html-keyboard-response","18","163083","0.0-3.0-3.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","19","164086","0.0-3.0-4.2","img/won.png","","","null"
"null","","html-keyboard-response","20","165587","0.0-3.0-5.2","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"3780.3000000715256","","image-keyboard-response","21","169369","0.0-3.0-0.3","img/cat.png","","","2"
