"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","view_history","response"
"3892.2000000476837","{""Q0"":""WA_004""}","survey-text","0","3907","0.0-0.0-0.0","","","",""
"7477.100000023842","","html-keyboard-response","1","11386","0.0-1.0","<p style=""font-size:30px;"">Welcome to the experiment!</p><p style=""font-size:30px;""> You will read instructions for the game</p><p style=""font-size:30px;""> while we take a scan.</p><br><p style=""font-size:30px;"">Press ""3"" with your middle finger to read the instructions.</p></br>","3","",""
"144441.10000002384","","instructions","2","155830","0.0-2.0","","","[{""page_index"":0,""viewing_time"":3627.5},{""page_index"":1,""viewing_time"":4926.600000023842},{""page_index"":2,""viewing_time"":8886},{""page_index"":3,""viewing_time"":7652},{""page_index"":4,""viewing_time"":16896.899999976158},{""page_index"":5,""viewing_time"":7286.800000071526},{""page_index"":6,""viewing_time"":4255},{""page_index"":7,""viewing_time"":5250.899999976158},{""page_index"":8,""viewing_time"":5471.899999976158},{""page_index"":9,""viewing_time"":4186.100000023842},{""page_index"":10,""viewing_time"":5363.899999976158},{""page_index"":11,""viewing_time"":3980.8000000715256},{""page_index"":12,""viewing_time"":12435.099999904633},{""page_index"":13,""viewing_time"":9529.700000047684},{""page_index"":14,""viewing_time"":7063},{""page_index"":15,""viewing_time"":5196},{""page_index"":16,""viewing_time"":4167.799999952316},{""page_index"":17,""viewing_time"":2164.100000023842},{""page_index"":18,""viewing_time"":10009.899999976158},{""page_index"":19,""viewing_time"":8108},{""page_index"":20,""viewing_time"":5400.900000095367},{""page_index"":21,""viewing_time"":2581.7999999523163}]",""
"2456.1999999284744","","image-keyboard-response","3","158303","0.0-3.0-0.0","img/bow.png","","","1"
"null","","html-keyboard-response","4","159804","0.0-3.0-1.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2248.2000000476837","","image-keyboard-response","5","162054","0.0-3.0-2.0","img/crow.png","","","1"
"null","","html-keyboard-response","6","163555","0.0-3.0-3.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","7","164558","0.0-3.0-4.0","img/won.png","","","null"
"null","","html-keyboard-response","8","166059","0.0-3.0-5.0","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"3407.899999976158","","image-keyboard-response","9","169470","0.0-3.0-0.1","img/rock.png","","","2"
"null","","html-keyboard-response","10","170971","0.0-3.0-1.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1497.3999999761581","","image-keyboard-response","11","172470","0.0-3.0-2.1","img/cat.png","","","1"
"null","","html-keyboard-response","12","173971","0.0-3.0-3.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","13","174974","0.0-3.0-4.1","img/won.png","","","null"
"null","","html-keyboard-response","14","176475","0.0-3.0-5.1","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1533.7999999523163","","image-keyboard-response","15","178009","0.0-3.0-0.2","img/gun.png","","","1"
"null","","html-keyboard-response","16","179511","0.0-3.0-1.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1313.6999999284744","","image-keyboard-response","17","180825","0.0-3.0-2.2","img/goose.png","","","1"
"null","","html-keyboard-response","18","182327","0.0-3.0-3.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","19","183329","0.0-3.0-4.2","img/won.png","","","null"
"null","","html-keyboard-response","20","184831","0.0-3.0-5.2","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1384.0999999046326","","image-keyboard-response","21","186216","0.0-3.0-0.3","img/cat.png","","","1"
"null","","html-keyboard-response","22","187717","0.0-3.0-1.3","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1526.3000000715256","","image-keyboard-response","23","189244","0.0-3.0-2.3","img/fist.png","","","1"
"null","","html-keyboard-response","24","190745","0.0-3.0-3.3","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","25","191747","0.0-3.0-4.3","img/lost.png","","","null"
"null","","html-keyboard-response","26","193248","0.0-3.0-5.3","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"4224.800000071526","","image-keyboard-response","27","197474","0.0-3.0-0.4","img/stick.png","","","1"
"null","","html-keyboard-response","28","198975","0.0-3.0-1.4","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1238.8000000715256","","image-keyboard-response","29","200216","0.0-3.0-2.4","img/grizzly.png","","","2"
"null","","html-keyboard-response","30","201718","0.0-3.0-3.4","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","31","202720","0.0-3.0-4.4","img/lost.png","","","null"
"null","","html-keyboard-response","32","204221","0.0-3.0-5.4","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"3008.2000000476837","","image-keyboard-response","33","207231","0.0-3.0-0.5","img/crow.png","","","1"
"null","","html-keyboard-response","34","208732","0.0-3.0-1.5","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1290","","image-keyboard-response","35","210024","0.0-3.0-2.5","img/gun.png","","","1"
