"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","view_history","response"
"6824.699999928474","{""Q0"":""WA_005""}","survey-text","0","6837","0.0-0.0-0.0","","","",""
"3067.2999999523163","","html-keyboard-response","1","9906","0.0-1.0","<p style=""font-size:30px;"">Welcome to the experiment!</p><p style=""font-size:30px;""> You will read instructions for the game</p><p style=""font-size:30px;""> while we take a scan.</p><br><p style=""font-size:30px;"">Press ""3"" with your middle finger to read the instructions.</p></br>","3","",""
"92649.59999990463","","instructions","2","102558","0.0-2.0","","","[{""page_index"":0,""viewing_time"":2832.399999976158},{""page_index"":1,""viewing_time"":2299.600000023842},{""page_index"":2,""viewing_time"":5572.799999952316},{""page_index"":3,""viewing_time"":6324.100000023842},{""page_index"":4,""viewing_time"":8342},{""page_index"":5,""viewing_time"":5014},{""page_index"":6,""viewing_time"":4011.7999999523163},{""page_index"":7,""viewing_time"":3956},{""page_index"":8,""viewing_time"":4397},{""page_index"":9,""viewing_time"":1566.1000000238419},{""page_index"":10,""viewing_time"":2845.7999999523163},{""page_index"":11,""viewing_time"":3202.9000000953674},{""page_index"":12,""viewing_time"":5485},{""page_index"":13,""viewing_time"":7429.899999976158},{""page_index"":14,""viewing_time"":2291.899999976158},{""page_index"":15,""viewing_time"":3855},{""page_index"":16,""viewing_time"":2508},{""page_index"":17,""viewing_time"":1144.8999999761581},{""page_index"":18,""viewing_time"":4516.100000023842},{""page_index"":19,""viewing_time"":5074.899999976158},{""page_index"":20,""viewing_time"":5346},{""page_index"":21,""viewing_time"":4633}]",""
"1369","","image-keyboard-response","3","103932","0.0-3.0-0.0","img/cat.png","","","1"
"null","","html-keyboard-response","4","105434","0.0-3.0-1.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"982.8000000715256","","image-keyboard-response","5","106418","0.0-3.0-2.0","img/fist.png","","","1"
"null","","html-keyboard-response","6","107919","0.0-3.0-3.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","7","108921","0.0-3.0-4.0","img/lost.png","","","null"
"null","","html-keyboard-response","8","110422","0.0-3.0-5.0","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1275.9000000953674","","image-keyboard-response","9","111700","0.0-3.0-0.1","img/crow.png","","","1"
"null","","html-keyboard-response","10","113201","0.0-3.0-1.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1278.8999999761581","","image-keyboard-response","11","114482","0.0-3.0-2.1","img/gun.png","","","1"
"null","","html-keyboard-response","12","115983","0.0-3.0-3.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","13","116985","0.0-3.0-4.1","img/won.png","","","null"
"null","","html-keyboard-response","14","118486","0.0-3.0-5.1","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1013.1000000238419","","image-keyboard-response","15","119500","0.0-3.0-0.2","img/rock.png","","","1"
"null","","html-keyboard-response","16","121002","0.0-3.0-1.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1462.2000000476837","","image-keyboard-response","17","122467","0.0-3.0-2.2","img/cat.png","","","1"
"null","","html-keyboard-response","18","123967","0.0-3.0-3.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","19","124969","0.0-3.0-4.2","img/won.png","","","null"
"null","","html-keyboard-response","20","126471","0.0-3.0-5.2","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1066.5","","image-keyboard-response","21","127538","0.0-3.0-0.3","img/bow.png","","","1"
"null","","html-keyboard-response","22","129040","0.0-3.0-1.3","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1029.6000000238419","","image-keyboard-response","23","130071","0.0-3.0-2.3","img/crow.png","","","1"
"null","","html-keyboard-response","24","131573","0.0-3.0-3.3","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","25","132575","0.0-3.0-4.3","img/won.png","","","null"
"null","","html-keyboard-response","26","134076","0.0-3.0-5.3","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"855.2999999523163","","image-keyboard-response","27","134932","0.0-3.0-0.4","img/gun.png","","","1"
"null","","html-keyboard-response","28","136434","0.0-3.0-1.4","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"908.5","","image-keyboard-response","29","137343","0.0-3.0-2.4","img/goose.png","","","1"
"null","","html-keyboard-response","30","138844","0.0-3.0-3.4","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","31","139846","0.0-3.0-4.4","img/won.png","","","null"
"null","","html-keyboard-response","32","141347","0.0-3.0-5.4","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1907.2999999523163","","image-keyboard-response","33","143255","0.0-3.0-0.5","img/lion.png","","","2"
"null","","html-keyboard-response","34","144756","0.0-3.0-1.5","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1132.1999999284744","","image-keyboard-response","35","145890","0.0-3.0-2.5","img/grenade.png","","","1"
"null","","html-keyboard-response","36","147391","0.0-3.0-3.5","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","37","148393","0.0-3.0-4.5","img/won.png","","","null"
"null","","html-keyboard-response","38","149894","0.0-3.0-5.5","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1242.7999999523163","","image-keyboard-response","39","151138","0.0-3.0-0.6","img/stick.png","","","2"
"null","","html-keyboard-response","40","152640","0.0-3.0-1.6","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1126","","image-keyboard-response","41","153767","0.0-3.0-2.6","img/grizzly.png","","","2"
"null","","html-keyboard-response","42","155269","0.0-3.0-3.6","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","43","156270","0.0-3.0-4.6","img/lost.png","","","null"
"null","","html-keyboard-response","44","157771","0.0-3.0-5.6","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1544.9000000953674","","image-keyboard-response","45","159317","0.0-3.0-0.7","img/fist.png","","","1"
"null","","html-keyboard-response","46","160818","0.0-3.0-1.7","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"637.1000000238419","","image-keyboard-response","47","161457","0.0-3.0-2.7","img/grizzly.png","","","2"
"null","","html-keyboard-response","48","162958","0.0-3.0-3.7","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","49","163960","0.0-3.0-4.7","img/lost.png","","","null"
"null","","html-keyboard-response","50","165461","0.0-3.0-5.7","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"5973.100000023842","","html-keyboard-response","51","171435","0.0-4.0","<div><p style=""font-size:30px;"">You finished the instructions.</p><p style=""font-size:30px;"">The scan make take a few minutes longer.  </p><p style=""font-size:30px;"">Please relax and hold still until it is finished. </p><p style=""font-size:30px;"">We will tell you when the main game is ready to begin.</p><br><p style=""font-size:30px;""><b>Please press 3 to end.</b> </p></br></div>","3","",""
