"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","view_history","response"
"7524.700000047684","{""Q0"":""WA_007""}","survey-text","0","7537","0.0-0.0-0.0","","","",""
"7631.300000071526","","html-keyboard-response","1","15170","0.0-1.0","<p style=""font-size:30px;"">Welcome to the experiment!</p><p style=""font-size:30px;""> You will read instructions for the game</p><p style=""font-size:30px;""> while we take a scan.</p><br><p style=""font-size:30px;"">Press ""3"" with your middle finger to read the instructions.</p></br>","3","",""
"113949.40000009537","","instructions","2","129122","0.0-2.0","","","[{""page_index"":0,""viewing_time"":3525.100000023842},{""page_index"":1,""viewing_time"":22994.600000023842},{""page_index"":2,""viewing_time"":5109.799999952316},{""page_index"":3,""viewing_time"":8821},{""page_index"":4,""viewing_time"":6418.900000095367},{""page_index"":5,""viewing_time"":6686.099999904633},{""page_index"":6,""viewing_time"":3319.8000000715256},{""page_index"":7,""viewing_time"":3106},{""page_index"":8,""viewing_time"":4071.100000023842},{""page_index"":9,""viewing_time"":2319.899999976158},{""page_index"":10,""viewing_time"":3624},{""page_index"":11,""viewing_time"":2648.899999976158},{""page_index"":12,""viewing_time"":6461},{""page_index"":13,""viewing_time"":3418.899999976158},{""page_index"":14,""viewing_time"":2749.2000000476837},{""page_index"":15,""viewing_time"":3338.6999999284744},{""page_index"":16,""viewing_time"":3144.100000023842},{""page_index"":17,""viewing_time"":8104.800000071526},{""page_index"":18,""viewing_time"":4299},{""page_index"":19,""viewing_time"":3666.0999999046326},{""page_index"":20,""viewing_time"":4264.900000095367},{""page_index"":21,""viewing_time"":1857.0999999046326}]",""
"3868.8000000715256","","image-keyboard-response","3","132995","0.0-3.0-0.0","img/stick.png","","","2"
"null","","html-keyboard-response","4","134496","0.0-3.0-1.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1797.9000000953674","","image-keyboard-response","5","136296","0.0-3.0-2.0","img/grizzly.png","","","2"
"null","","html-keyboard-response","6","137797","0.0-3.0-3.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","7","138799","0.0-3.0-4.0","img/lost.png","","","null"
"null","","html-keyboard-response","8","140300","0.0-3.0-5.0","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"3907.2999999523163","","image-keyboard-response","9","144209","0.0-3.0-0.1","img/fist.png","","","2"
"null","","html-keyboard-response","10","145710","0.0-3.0-1.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1414.2000000476837","","image-keyboard-response","11","147126","0.0-3.0-2.1","img/grizzly.png","","","2"
"null","","html-keyboard-response","12","148627","0.0-3.0-3.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","13","149629","0.0-3.0-4.1","img/lost.png","","","null"
"null","","html-keyboard-response","14","151131","0.0-3.0-5.1","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1638.4000000953674","","image-keyboard-response","15","152770","0.0-3.0-0.2","img/lion.png","","","2"
"null","","html-keyboard-response","16","154272","0.0-3.0-1.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2109.5","","image-keyboard-response","17","156382","0.0-3.0-2.2","img/grenade.png","","","1"
"null","","html-keyboard-response","18","157884","0.0-3.0-3.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","19","158886","0.0-3.0-4.2","img/won.png","","","null"
"null","","html-keyboard-response","20","160387","0.0-3.0-5.2","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"3615.600000023842","","image-keyboard-response","21","164003","0.0-3.0-0.3","img/cat.png","","","1"
"null","","html-keyboard-response","22","165504","0.0-3.0-1.3","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2355.399999976158","","image-keyboard-response","23","167861","0.0-3.0-2.3","img/fist.png","","","1"
"null","","html-keyboard-response","24","169362","0.0-3.0-3.3","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","25","170364","0.0-3.0-4.3","img/lost.png","","","null"
"null","","html-keyboard-response","26","171865","0.0-3.0-5.3","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1293.8999999761581","","image-keyboard-response","27","173160","0.0-3.0-0.4","img/rock.png","","","2"
"null","","html-keyboard-response","28","174662","0.0-3.0-1.4","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2047.2999999523163","","image-keyboard-response","29","176710","0.0-3.0-2.4","img/cat.png","","","1"
"null","","html-keyboard-response","30","178211","0.0-3.0-3.4","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","31","179213","0.0-3.0-4.4","img/won.png","","","null"
"null","","html-keyboard-response","32","180714","0.0-3.0-5.4","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1489.3999999761581","","image-keyboard-response","33","182204","0.0-3.0-0.5","img/crow.png","","","2"
"null","","html-keyboard-response","34","183706","0.0-3.0-1.5","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1532.5999999046326","","image-keyboard-response","35","185240","0.0-3.0-2.5","img/gun.png","","","1"
"null","","html-keyboard-response","36","186741","0.0-3.0-3.5","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","37","187743","0.0-3.0-4.5","img/won.png","","","null"
"null","","html-keyboard-response","38","189244","0.0-3.0-5.5","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1373.0999999046326","","image-keyboard-response","39","190618","0.0-3.0-0.6","img/bow.png","","","2"
"null","","html-keyboard-response","40","192120","0.0-3.0-1.6","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1430.3999999761581","","image-keyboard-response","41","193551","0.0-3.0-2.6","img/crow.png","","","1"
"null","","html-keyboard-response","42","195052","0.0-3.0-3.6","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","43","196054","0.0-3.0-4.6","img/won.png","","","null"
"null","","html-keyboard-response","44","197555","0.0-3.0-5.6","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"2065.4000000953674","","image-keyboard-response","45","199622","0.0-3.0-0.7","img/gun.png","","","1"
"null","","html-keyboard-response","46","201123","0.0-3.0-1.7","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"982.2000000476837","","image-keyboard-response","47","202106","0.0-3.0-2.7","img/goose.png","","","1"
"null","","html-keyboard-response","48","203607","0.0-3.0-3.7","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","49","204609","0.0-3.0-4.7","img/won.png","","","null"
"null","","html-keyboard-response","50","206110","0.0-3.0-5.7","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"9450.100000023842","","html-keyboard-response","51","215561","0.0-4.0","<div><p style=""font-size:30px;"">You finished the instructions.</p><p style=""font-size:30px;"">The scan make take a few minutes longer.  </p><p style=""font-size:30px;"">Please relax and hold still until it is finished. </p><p style=""font-size:30px;"">We will tell you when the main game is ready to begin.</p><br><p style=""font-size:30px;""><b>Please press 3 to end.</b> </p></br></div>","3","",""
