RunNumL,SetNumL,BattleNumL,FirstStimL,SecondStimL,ConfidenceL,OutcomeL,OutcomeNumL,ToneL,RunNumA,SetNumA,BattleNumA,FirstStimA,SecondStimA,ConfidenceA,OutcomeA,OutcomeNumA,ToneA,RunNumH,SetNumH,BattleNumH,FirstStimH,SecondStimH,ConfidenceH,OutcomeH,OutcomeNumH,ToneH,FullLoop.thisRepN,FullLoop.thisTrialN,FullLoop.thisN,FullLoop.thisIndex,loopL.thisRepN,loopL.thisTrialN,loopL.thisN,loopL.thisIndex,loop1.thisRepN,loop1.thisTrialN,loop1.thisN,loop1.thisIndex,loopA.thisRepN,loopA.thisTrialN,loopA.thisN,loopA.thisIndex,loop2.thisRepN,loop2.thisTrialN,loop2.thisN,loop2.thisIndex,loopH.thisRepN,loopH.thisTrialN,loopH.thisN,loopH.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trigger_image.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,wait.started,wait.stopped,firststim_img_loop1.started,isi_conf_stim1_loop1.started,conf_img_stim1_loop1.started,conf_resp_stim1_loop1.started,conf_resp_stim1_loop1.keys,conf_resp_stim1_loop1.rt,isi_stim_1,isi_stim_loop1.started,isi_stim_loop1.stopped,secondstim_img_loop1.started,isi_conf_stim2_loop1.started,conf_img_stim2_loop1.started,conf_resp_stim2_loop1.started,conf_resp_stim2_loop1.keys,conf_resp_stim2_loop1.rt,isi_outcome.started,outcome_img_loop1.started,Tone_loop1.started,Tone_loop1.stopped,jitter_iti_1,iti_loop1.started,iti_loop1.stopped,secondstim_img_loop1.stopped,firststim_img_loop1.stopped,firststim_img_loop2.started,isi_conf_stim1_loop2.started,conf_img_stim1_loop2.started,conf_resp_stim1_loop2.started,conf_resp_stim1_loop2.keys,conf_resp_stim1_loop2.rt,isi_stim_2,isi_stim_loop2.started,isi_stim_loop2.stopped,secondstim_img_loop2.started,isi_conf_loop2.started,conf_img_stim2_loop2.started,conf_resp_stim2_loop2.started,conf_resp_stim2_loop2.keys,conf_resp_stim2_loop2.rt,outcome_image_loop2.started,Tone_loop2.started,Tone_loop2.stopped,jitter_iti_2,iti_loop2.started,iti_loop2.stopped,firststim_img_loop2.stopped,secondstim_img_loop2.stopped,outcome_image_loop2.stopped,firststim_img_loop3.started,isi_conf_stim1_loop3.started,conf_img_stim1_loop3.started,conf_resp_stim1_loop3.started,conf_resp_stim1_loop3.keys,conf_resp_stim1_loop3.rt,isi_stim_3,isi_stim_loop3.started,isi_stim_loop3.stopped,secondstim_img_loop3.started,isi_conf_stim2_loop3.started,conf_img_stim2_loop3.started,conf_resp_stim2_loop3.started,conf_resp_stim2_loop3.keys,conf_resp_stim2_loop3.rt,outcome_img_loop3.started,Tone_loop3.started,Tone_loop3.stopped,jitter_iti_3,iti_loop3.started,iti_loop3.stopped,firststim_img_loop3.stopped,secondstim_img_loop3.stopped,outcome_img_loop3.stopped,completion_prompt.started,completion_prompt_resp.started,completion_prompt_resp.keys,completion_prompt_resp.rt,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,1,1,63,img/Agent_AS.png,img/HM.png,img/confidence.png,img/won.png,1,img/Silent.wav,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,12,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.4596197910141,,,,,,,,,299.8948077908717,300.90967549989,301.1595915830694,301.1595915830694,['a'],[0.287627749145031],0.5,301.4757381249219,301.97697299998254,301.97697299998254,302.97630395786837,303.24276354094036,303.24276354094036,['a'],[0.19881516601890326],303.7332025829237,303.8931433875347,305.19330058293417,2.0,305.226139791077,307.2264070410747,,302.97630395786837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
,,,,,,,,,1,1,65,img/Agent_AW.png,img/LS.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,13,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.6765931660775,,,,,,,,,307.2264070410747,308.2265238328837,308.4761768330354,308.4761768330354,['a'],[0.2407793749589473],1.5,308.74299562489614,310.2438420408871,310.2438420408871,311.2587216249667,311.5094718330074,311.5094718330074,['a'],[0.13704012497328222],311.9428799159359,312.1100146374898,313.4095558328554,0.5,313.44226445793174,313.9435284580104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
,,,,,,,,,1,1,72,img/Agent_AW.png,img/HW.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,14,14,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.0766319159884,,,,,,,,,313.9435284580104,314.94270291598514,315.19265424995683,315.19265424995683,['a'],[0.2639529160223901],1.0,315.4758957079612,316.4778322079219,316.4778322079219,317.49243695801124,317.74353404087014,317.74353404087014,['a'],[0.3076008749194443],318.32706854096614,318.5095294704894,319.80897962488234,0.5,319.8423456249293,320.34374312497675,314.94270291598514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
,,,,,,,,,1,1,66,img/Agent_AW.png,img/LM.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,15,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.6925918329507,,,,,,,,,320.34374312497675,321.34296362497844,321.5928172080312,321.5928172080312,['a'],[0.15484412387013435],1.5,321.77669891598634,323.27780229086056,323.27780229086056,324.2762394999154,324.5261461660266,324.5261461660266,['a'],[0.1430571659002453],324.96060758293606,325.12651517849883,326.426010832889,1.5,326.4590352079831,327.9603438328486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
,,,,,,,,,1,1,56,img/Agent_AM.png,img/AS.png,img/confidence.png,img/won.png,1,img/Silent.wav,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,16,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.442601375049,,,,,,,,,327.9603438328486,328.95969104091637,329.22586591588333,329.22586591588333,['a'],[0.8798100408166647],1.0,330.12574187503196,331.12685412494466,331.12685412494466,332.1261497079395,332.37657891586423,332.37657891586423,['a'],[1.046406373847276],333.72283650003374,333.8763388034655,335.17608641600236,1.0,335.2092388330493,336.21057904092595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
,,,,,,,,,1,1,50,img/Agent_AM.png,img/LM.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.4590847499203,,,,,,,,,336.21057904092595,337.2259231659118,337.4761929579545,337.4761929579545,['a'],[0.4360044989734888],2.0,337.9436007910408,339.94339633290656,339.94339633290656,340.9431105409749,341.1927895830013,341.1927895830013,['a'],[0.24820937402546406],341.72698920802213,341.8930506785633,343.19311266602017,1.0,343.22636020788923,344.24497945792973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
,,,,,,,,,1,1,70,img/Agent_AW.png,img/AS.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,18,18,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.6928010410629,,,,,,,,,344.24497945792973,345.2594013749622,345.5094306659885,345.5094306659885,['a'],[0.29889216599985957],0.5,345.8267806658987,346.3265627499204,346.3265627499204,347.326116082957,347.59271466592327,347.59271466592327,['a'],[0.07563591585494578],347.9598126660567,348.1264792625094,349.42611904093064,1.0,349.45974879106507,350.4600785828661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
,,,,,,,,,1,1,58,img/Agent_AS.png,img/LM.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,19,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.1424164578784,,,,,,,,,350.4600785828661,351.47619070787914,351.7259661250282,351.7259661250282,['b'],[0.8747517501469702],1.0,352.62667124997824,353.62696412485093,353.62696412485093,354.6265788329765,354.8925418329891,354.8925418329891,['a'],[0.2234010410029441],355.3934209579602,355.5762088455027,356.8759959999006,1.0,356.8926091250032,357.89337125001475,,354.6265788329765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
,,,,,,,,,1,1,54,img/Agent_AM.png,img/AS.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,20,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.6090459160041,,,,,,,,,357.89337125001475,358.89297633292153,359.14288016594946,359.14288016594946,['a'],[0.3930747490376234],1.5,359.55928533291444,361.0599476250354,361.0599476250354,362.05921670794487,362.32584937498905,362.32584937498905,['a'],[0.254177374066785],362.8761605829932,363.0429450124735,364.3431318330113,1.5,364.3761622500606,365.87672358285636,358.89297633292153,362.05921670794487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
,,,,,,,,,1,1,60,img/Agent_AS.png,img/HS.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,21,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.02596804103814,,,,,,,,,365.87672358285636,366.8759200000204,367.1429067910649,367.1429067910649,['a'],[0.2957059987820685],1.0,367.45909866597503,368.46011462504975,368.46011462504975,369.4590993330348,369.7260495410301,369.7260495410301,['a'],[0.278768208110705],370.293359125033,370.45952692839785,371.7597857909277,1.5,371.77634904091246,373.27678091591224,366.8759200000204,369.4590993330348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
,,,,,,,,,1,1,53,img/Agent_AM.png,img/HW.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,22,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.0433755828999,,,,,,,,,373.27678091591224,374.2764132078737,374.54264024994336,374.54264024994336,['a'],[0.255493916105479],0.5,374.8313516250346,375.3436604999006,375.3436604999006,376.3593227909878,376.60932074999437,376.60932074999437,['a'],[0.4086357490159571],377.29315220797434,377.47639926245904,378.77600862504914,1.0,378.79293291596696,379.7932825409807,,,378.79293291596696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
,,,,,,,,,1,1,68,img/Agent_AW.png,img/HS.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,23,23,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.47598437499255,,,,,,,,,379.7932825409807,380.7922845829744,381.04279958293773,381.04279958293773,['a'],[0.3215510828886181],0.5,381.3923573328648,381.8931805409957,381.8931805409957,382.8930781248491,383.14270745799877,383.14270745799877,['a'],[0.3094343750271946],383.7431845830288,383.9094066785416,385.2090992908925,0.5,385.243238999974,385.7548110829666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
,,,,,,,,,,,,,,,,,,1,1,28,img/Agent_HM.png,img/HW.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,391.1593988330569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.7548110829666,386.7594320408534,386.99290495784953,386.99290495784953,['b'],[0.9003707910887897],1.5,387.90944462502375,389.41116616595536,389.41116616595536,390.425785665866,390.6757266658824,390.6757266658824,['b'],[0.45934766600839794],391.42689679097384,391.59265226244463,392.9093345410656,0.5,392.9258453329094,393.4270125408657,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
,,,,,,,,,,,,,,,,,,1,1,33,img/Agent_HS.png,img/LS.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,397.84230229095556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.4270125408657,394.42596016591415,394.69249149993993,394.69249149993993,['b'],[0.5954417490866035],1.0,395.30923012504354,396.3104417498689,396.3104417498689,397.3093764160294,397.5759307499975,397.5759307499975,['a'],[0.24419037392362952],398.10990620800294,398.27650751245676,399.5928151658736,0.5,399.6094552499708,400.10997658292763,394.42596016591415,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
,,,,,,,,,,,,,,,,,,1,1,35,img/Agent_HS.png,img/LW.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,10,,,,,,,,,,,,,,,,,,,,,,405.0266716659535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.10997658292763,401.1098308749497,401.3592671658844,401.3592671658844,['b'],[0.47418412403203547],1.0,401.85905037494376,402.86091833305545,402.86091833305545,403.8594404999167,404.1259151250124,404.1259151250124,['b'],[0.8686253749765456],405.29316654102877,405.4593453454087,406.75923879095353,2.0,406.79276579106227,408.7945407910738,401.1098308749497,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
,,,,,,,,,,,,,,,,,,1,1,42,img/Agent_HW.png,img/LM.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,17,,,,,,,,,,,,,,,,,,,,,,412.62560462486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.7945407910738,409.7928526659962,410.04245033301413,410.04245033301413,['a'],[0.4530399569775909],0.5,410.52624012506567,411.02745537506416,411.02745537506416,412.0261698749382,412.2760907500051,412.2760907500051,['a'],[0.32551099988631904],412.89310649991967,413.05953526243104,414.35914183291607,1.5,414.3916174580809,415.89369124989025,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
,,,,,,,,,,,,,,,,,,1,1,26,img/Agent_HM.png,img/LM.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,420.51060329098254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.89369124989025,416.90941754099913,417.15913945785724,417.15913945785724,['b'],[0.3013354989234358],1.5,417.49298212490976,418.9928240829613,418.9928240829613,419.9922946249135,420.25909387506545,420.25909387506545,['a'],[0.231293291086331],420.7600238749292,420.9427958035609,422.24271754105575,1.5,422.25949537497945,423.76019724993967,,419.9922946249135,422.25949537497945,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
