3.5827 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
206.3128 	DATA 	Keypress: t
207.9142 	DATA 	Keypress: lshift
207.9143 	DATA 	Keypress: t
209.5158 	DATA 	Keypress: lshift
209.5159 	DATA 	Keypress: t
211.1165 	DATA 	Keypress: lshift
211.1166 	DATA 	Keypress: t
212.7172 	DATA 	Keypress: lshift
212.7173 	DATA 	Keypress: t
214.3188 	DATA 	Keypress: lshift
214.3189 	DATA 	Keypress: t
215.9194 	DATA 	Keypress: lshift
215.9196 	DATA 	Keypress: t
217.5207 	DATA 	Keypress: lshift
217.5208 	DATA 	Keypress: t
219.1223 	DATA 	Keypress: lshift
219.1224 	DATA 	Keypress: t
220.7225 	DATA 	Keypress: lshift
220.7227 	DATA 	Keypress: t
222.3238 	DATA 	Keypress: lshift
222.3239 	DATA 	Keypress: t
223.9256 	DATA 	Keypress: lshift
223.9258 	DATA 	Keypress: t
225.5131 	DATA 	Keypress: lshift
225.5132 	DATA 	Keypress: t
227.1125 	DATA 	Keypress: lshift
227.1126 	DATA 	Keypress: t
228.7126 	DATA 	Keypress: lshift
228.7127 	DATA 	Keypress: t
230.3138 	DATA 	Keypress: lshift
230.3139 	DATA 	Keypress: t
231.9151 	DATA 	Keypress: lshift
231.9152 	DATA 	Keypress: t
233.5155 	DATA 	Keypress: lshift
233.5156 	DATA 	Keypress: t
235.1171 	DATA 	Keypress: lshift
235.1172 	DATA 	Keypress: t
236.7173 	DATA 	Keypress: lshift
236.7174 	DATA 	Keypress: t
238.3184 	DATA 	Keypress: lshift
238.3186 	DATA 	Keypress: t
239.9200 	DATA 	Keypress: lshift
239.9201 	DATA 	Keypress: t
241.5218 	DATA 	Keypress: lshift
241.5219 	DATA 	Keypress: t
243.1244 	DATA 	Keypress: lshift
243.1247 	DATA 	Keypress: t
244.7242 	DATA 	Keypress: lshift
244.7243 	DATA 	Keypress: t
246.3252 	DATA 	Keypress: lshift
246.3253 	DATA 	Keypress: t
247.9131 	DATA 	Keypress: lshift
247.9132 	DATA 	Keypress: t
249.5131 	DATA 	Keypress: lshift
249.5132 	DATA 	Keypress: t
251.1130 	DATA 	Keypress: lshift
251.1131 	DATA 	Keypress: t
252.7133 	DATA 	Keypress: lshift
252.7134 	DATA 	Keypress: t
254.3160 	DATA 	Keypress: lshift
254.3161 	DATA 	Keypress: t
255.9154 	DATA 	Keypress: lshift
255.9155 	DATA 	Keypress: t
257.5164 	DATA 	Keypress: lshift
257.5165 	DATA 	Keypress: t
259.1173 	DATA 	Keypress: lshift
259.1174 	DATA 	Keypress: t
260.7185 	DATA 	Keypress: lshift
260.7186 	DATA 	Keypress: t
262.3197 	DATA 	Keypress: lshift
262.3198 	DATA 	Keypress: t
263.9214 	DATA 	Keypress: lshift
263.9215 	DATA 	Keypress: t
265.5218 	DATA 	Keypress: lshift
265.5219 	DATA 	Keypress: t
267.1229 	DATA 	Keypress: lshift
267.1230 	DATA 	Keypress: t
267.6730 	DATA 	Keypress: c
