3.5208 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
19.3172 	WARNING 	Monitor specification not found. Creating a temporary one...
19.3691 	WARNING 	User requested fullscreen with size [1512  982], but screen is actually [1920, 1080]. Using actual size
54.0850 	DATA 	Keypress: lshift
54.0852 	DATA 	Keypress: t
55.6841 	DATA 	Keypress: lshift
55.6842 	DATA 	Keypress: t
57.2863 	DATA 	Keypress: lshift
57.2864 	DATA 	Keypress: t
58.8870 	DATA 	Keypress: lshift
58.8871 	DATA 	Keypress: t
60.4871 	DATA 	Keypress: lshift
60.4872 	DATA 	Keypress: t
62.0881 	DATA 	Keypress: lshift
62.0882 	DATA 	Keypress: t
62.9900 	DATA 	Keypress: lshift
62.9901 	DATA 	Keypress: b
63.6895 	DATA 	Keypress: lshift
63.6896 	DATA 	Keypress: t
65.2902 	DATA 	Keypress: lshift
65.2903 	DATA 	Keypress: t
66.8913 	DATA 	Keypress: lshift
66.8914 	DATA 	Keypress: t
68.4927 	DATA 	Keypress: lshift
68.4928 	DATA 	Keypress: t
69.8282 	DATA 	Keypress: lshift
69.8283 	DATA 	Keypress: a
70.1597 	DATA 	Keypress: lshift
70.1598 	DATA 	Keypress: t
71.6953 	DATA 	Keypress: lshift
71.6954 	DATA 	Keypress: t
73.2973 	DATA 	Keypress: lshift
73.2975 	DATA 	Keypress: t
74.8987 	DATA 	Keypress: lshift
74.8989 	DATA 	Keypress: t
75.3653 	DATA 	Keypress: lshift
75.3654 	DATA 	Keypress: c
76.4987 	DATA 	Keypress: lshift
76.4988 	DATA 	Keypress: t
78.1000 	DATA 	Keypress: lshift
78.1001 	DATA 	Keypress: t
78.3176 	DATA 	Keypress: lshift
78.3177 	DATA 	Keypress: c
79.6849 	DATA 	Keypress: lshift
79.6850 	DATA 	Keypress: t
81.2861 	DATA 	Keypress: lshift
81.2862 	DATA 	Keypress: t
82.8868 	DATA 	Keypress: lshift
82.8869 	DATA 	Keypress: t
83.9547 	DATA 	Keypress: lshift
83.9548 	DATA 	Keypress: c
84.4888 	DATA 	Keypress: lshift
84.4889 	DATA 	Keypress: t
86.0887 	DATA 	Keypress: lshift
86.0888 	DATA 	Keypress: t
87.6904 	DATA 	Keypress: lshift
87.6906 	DATA 	Keypress: t
87.9594 	DATA 	Keypress: lshift
87.9596 	DATA 	Keypress: b
89.2911 	DATA 	Keypress: lshift
89.2912 	DATA 	Keypress: t
90.8920 	DATA 	Keypress: lshift
90.8921 	DATA 	Keypress: t
92.4608 	DATA 	Keypress: lshift
92.4609 	DATA 	Keypress: c
92.4936 	DATA 	Keypress: lshift
92.4937 	DATA 	Keypress: t
94.0947 	DATA 	Keypress: lshift
94.0948 	DATA 	Keypress: t
95.1457 	DATA 	Keypress: lshift
95.1458 	DATA 	Keypress: b
95.6968 	DATA 	Keypress: lshift
