3.5181 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
12.5203 	WARNING 	Monitor specification not found. Creating a temporary one...
12.5242 	WARNING 	User requested fullscreen with size [1512  982], but screen is actually [1920, 1080]. Using actual size
23.0689 	DATA 	Keypress: c
51.7566 	DATA 	Keypress: lshift
51.7567 	DATA 	Keypress: t
53.3565 	DATA 	Keypress: lshift
53.3566 	DATA 	Keypress: t
54.9604 	DATA 	Keypress: lshift
54.9605 	DATA 	Keypress: t
56.5586 	DATA 	Keypress: lshift
56.5587 	DATA 	Keypress: t
58.1593 	DATA 	Keypress: lshift
58.1594 	DATA 	Keypress: t
59.7606 	DATA 	Keypress: lshift
59.7607 	DATA 	Keypress: t
61.3615 	DATA 	Keypress: lshift
61.3616 	DATA 	Keypress: t
62.7616 	DATA 	Keypress: c
62.9629 	DATA 	Keypress: lshift
62.9630 	DATA 	Keypress: t
64.5640 	DATA 	Keypress: lshift
64.5641 	DATA 	Keypress: t
65.4163 	DATA 	Keypress: c
66.1653 	DATA 	Keypress: lshift
66.1654 	DATA 	Keypress: t
67.7659 	DATA 	Keypress: lshift
67.7660 	DATA 	Keypress: t
69.2350 	DATA 	Keypress: c
69.3692 	DATA 	Keypress: lshift
69.3694 	DATA 	Keypress: t
70.8711 	DATA 	Keypress: c
70.9692 	DATA 	Keypress: lshift
70.9693 	DATA 	Keypress: t
72.5702 	DATA 	Keypress: lshift
72.5703 	DATA 	Keypress: t
74.1568 	DATA 	Keypress: lshift
74.1569 	DATA 	Keypress: t
75.0576 	DATA 	Keypress: lshift
75.0578 	DATA 	Keypress: a
75.7577 	DATA 	Keypress: lshift
75.7578 	DATA 	Keypress: t
76.6230 	DATA 	Keypress: lshift
76.6231 	DATA 	Keypress: a
77.3571 	DATA 	Keypress: lshift
77.3572 	DATA 	Keypress: t
78.9583 	DATA 	Keypress: lshift
78.9584 	DATA 	Keypress: t
80.5591 	DATA 	Keypress: lshift
80.5592 	DATA 	Keypress: t
81.1453 	DATA 	Keypress: lshift
81.1454 	DATA 	Keypress: a
82.0446 	DATA 	Keypress: lshift
82.0447 	DATA 	Keypress: a
82.1600 	DATA 	Keypress: lshift
82.1601 	DATA 	Keypress: t
83.7610 	DATA 	Keypress: lshift
83.7611 	DATA 	Keypress: t
85.3620 	DATA 	Keypress: lshift
85.3621 	DATA 	Keypress: t
85.9466 	DATA 	Keypress: c
86.9630 	DATA 	Keypress: lshift
86.9631 	DATA 	Keypress: t
87.2476 	DATA 	Keypress: c
88.5646 	DATA 	Keypress: lshift
88.5647 	DATA 	Keypress: t
90.1660 	DATA 	Keypress: lshift
90.1661 	DATA 	Keypress: t
91.7664 	DATA 	Keypress: lshift
91.7666 	DATA 	Keypress: t
92.2338 	DATA 	Keypress: c
93.3677 	DATA 	Keypress: lshift
93.3678 	DATA 	Keypress: t
94.9531 	DATA 	Keypress: c
94.9700 	DATA 	Keypress: lshift
94.9701 	DATA 	Keypress: t
96.5705 	DATA 	Keypress: lshift
96.5706 	DATA 	Keypress: t
98.0891 	DATA 	Keypress: c
98.1554 	DATA 	Keypress: lshift
98.1555 	DATA 	Keypress: t
99.7567 	DATA 	Keypress: lshift
99.7568 	DATA 	Keypress: t
99.8732 	DATA 	Keypress: c
101.3571 	DATA 	Keypress: lshift
101.3572 	DATA 	Keypress: t
102.9591 	DATA 	Keypress: lshift
102.9592 	DATA 	Keypress: t
104.4430 	DATA 	Keypress: lshift
104.4431 	DATA 	Keypress: a
104.5596 	DATA 	Keypress: lshift
104.5597 	DATA 	Keypress: t
106.1606 	DATA 	Keypress: lshift
106.1607 	DATA 	Keypress: t
106.3288 	DATA 	Keypress: lshift
106.3290 	DATA 	Keypress: a
107.7617 	DATA 	Keypress: lshift
107.7618 	DATA 	Keypress: t
109.3633 	DATA 	Keypress: lshift
109.3634 	DATA 	Keypress: t
110.9644 	DATA 	Keypress: lshift
110.9645 	DATA 	Keypress: t
110.9985 	DATA 	Keypress: lshift
110.9986 	DATA 	Keypress: a
112.5654 	DATA 	Keypress: lshift
112.5655 	DATA 	Keypress: t
113.3166 	DATA 	Keypress: lshift
113.3167 	DATA 	Keypress: a
114.1661 	DATA 	Keypress: lshift
114.1662 	DATA 	Keypress: t
115.7692 	DATA 	Keypress: lshift
115.7694 	DATA 	Keypress: t
117.3687 	DATA 	Keypress: lshift
117.3688 	DATA 	Keypress: t
117.8529 	DATA 	Keypress: c
118.9539 	DATA 	Keypress: lshift
118.9540 	DATA 	Keypress: a
118.9705 	DATA 	Keypress: lshift
118.9706 	DATA 	Keypress: t
120.5711 	DATA 	Keypress: lshift
120.5712 	DATA 	Keypress: t
122.1568 	DATA 	Keypress: lshift
122.1569 	DATA 	Keypress: t
122.8396 	DATA 	Keypress: lshift
122.8397 	DATA 	Keypress: a
123.7570 	DATA 	Keypress: lshift
123.7571 	DATA 	Keypress: t
124.2740 	DATA 	Keypress: lshift
124.2741 	DATA 	Keypress: a
125.3578 	DATA 	Keypress: lshift
125.3579 	DATA 	Keypress: t
126.9595 	DATA 	Keypress: lshift
126.9596 	DATA 	Keypress: t
128.5601 	DATA 	Keypress: lshift
128.5602 	DATA 	Keypress: t
128.7943 	DATA 	Keypress: c
130.1610 	DATA 	Keypress: lshift
130.1611 	DATA 	Keypress: t
130.2980 	DATA 	Keypress: c
131.7624 	DATA 	Keypress: lshift
131.7625 	DATA 	Keypress: t
133.3639 	DATA 	Keypress: lshift
133.3640 	DATA 	Keypress: t
134.9650 	DATA 	Keypress: lshift
134.9651 	DATA 	Keypress: t
135.5825 	DATA 	Keypress: c
136.5658 	DATA 	Keypress: lshift
136.5659 	DATA 	Keypress: t
137.0497 	DATA 	Keypress: c
138.1678 	DATA 	Keypress: lshift
138.1680 	DATA 	Keypress: t
139.7687 	DATA 	Keypress: lshift
139.7688 	DATA 	Keypress: t
