RunNum,SetNum,BattleNum,FirstStim,SecondStim,Outcome,OutcomeNum,Tone,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,trigger.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,wait.started,firststim_image.started,firststim_resp.started,firststim_resp.keys,firststim_resp.rt,isi_stim,isi_stim.started,isi_stim.stopped,secondstim_image.started,secondstim_resp.started,secondstim_resp.keys,secondstim_resp.rt,isi_outcome,isi_outcome.started,isi_outcome.stopped,outcome_image.started,tone.started,tone.stopped,jitter_iti,iti.started,iti.stopped,completion_prompt.started,completion_prompt_resp.started,completion_prompt_resp.keys,completion_prompt_resp.rt,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,20.69732369214762,20.69732369214762,t,26.351189133594744,,,,,,,,,,,,,,,,,,,,,,,,,,Maddy,001,2023-12-14_09h12.51.197,Safety_Run1_Tone,2023.1.0,59.93993434150531,
1,1,34,img/cat.png,img/stick.png,img/won.png,1,img/Silent.wav,0,0,0,7,,,,,47.06785475241486,52.093179111368954,52.093179111368954,a,6.009004652616568,1.5,58.10813718289137,59.61170795420185,59.61170795420185,59.61170795420185,a,1.4766330444253981,0.25,61.11079986579716,61.6642635865137,61.6642635865137,61.79446906625526,63.100818715873174,1.0,63.11434603272937,64.13050133013166,,,,,Maddy,001,2023-12-14_09h12.51.197,Safety_Run1_Tone,2023.1.0,59.93993434150531,
1,6,22,img/stick.png,img/lion.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,1,1,39,,,,,,64.13050133013166,64.13050133013166,c,1.1535342059796676,1.5,65.31388455023989,66.8172323172912,66.8172323172912,66.8172323172912,c,0.9380582751473412,0.25,67.78225704829674,68.28595183731522,68.28595183731522,68.46597175981151,69.76814974960871,1.5,69.7848133490188,71.28667119692545,,,,,Maddy,001,2023-12-14_09h12.51.197,Safety_Run1_Tone,2023.1.0,59.93993434150531,
1,8,16,img/grenade.png,img/goose.png,img/won.png,1,img/Silent.wav,0,2,2,19,,,,,,71.28667119692545,71.28667119692545,a,1.1666095406981185,2.0,72.48578191024717,74.48888377519324,74.48888377519324,74.48888377519324,a,0.5682084589498118,0.25,75.08925577136688,75.64096475532278,75.64096475532278,75.78785715886625,77.09120961918961,1.0,77.10602433071472,78.11949760303833,,,,,Maddy,001,2023-12-14_09h12.51.197,Safety_Run1_Tone,2023.1.0,59.93993434150531,
1,5,29,img/fist.png,img/grizzly.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,3,3,11,,,,,,78.11949760303833,78.11949760303833,c,1.0246348660439253,0.5,79.17382617667317,79.67612377530895,79.67612377530895,79.67612377530895,c,0.7171366587281227,0.25,80.42485394491814,80.9287609293824,80.9287609293824,81.10836812324123,82.41070938413031,1.0,82.42785995209124,83.43002400419209,,,,,Maddy,001,2023-12-14_09h12.51.197,Safety_Run1_Tone,2023.1.0,59.93993434150531,
1,8,24,img/grenade.png,img/lion.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,4,4,21,,,,,,83.43002400419209,83.43002400419209,a,0.7899549639550969,2.0,84.244292127667,86.24830364540685,86.24830364540685,86.24830364540685,a,0.568791285273619,0.25,86.84779414872173,87.36479780136142,87.36479780136142,87.5463343806914,88.84852175728884,2.0,88.86564018309582,90.86636068043299,,,,,Maddy,001,2023-12-14_09h12.51.197,Safety_Run1_Tone,2023.1.0,59.93993434150531,
1,7,39,img/gun.png,img/cat.png,img/won.png,1,img/Silent.wav,0,5,5,27,,,,,,90.86636068043299,90.86636068043299,a,0.8141463812207803,2.0,91.69956141535658,93.70278815121856,93.70278815121856,93.70278815121856,a,0.7775585976196453,0.25,94.50170424790122,95.04891133215278,95.04891133215278,95.18524459499167,96.49050994310528,1.0,96.50334179366473,97.50940216344316,,,,,Maddy,001,2023-12-14_09h12.51.197,Safety_Run1_Tone,2023.1.0,59.93993434150531,
1,6,14,img/stick.png,img/goose.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,6,6,37,,,,,,97.50940216344316,97.50940216344316,c,0.9948285184800625,0.5,98.52119437011424,99.02313641342334,99.02313641342334,99.02313641342334,c,2.581153518287465,0.25,101.62347086309455,102.12738894077484,102.12738894077484,102.30706980574178,103.60820104065351,0.5,103.62496049772017,104.12657799012959,,,,,Maddy,001,2023-12-14_09h12.51.197,Safety_Run1_Tone,2023.1.0,59.93993434150531,
1,5,37,img/fist.png,img/cat.png,img/won.png,1,img/Silent.wav,0,7,7,9,,,,,,104.12657799012959,104.12657799012959,c,2.110531634883955,2.0,106.26118356687948,108.26324066799134,108.26324066799134,108.26324066799134,a,1.3162909488892183,0.25,109.61245063820388,110.15862063865643,110.15862063865643,110.29610106529435,111.60061633377336,1.0,111.61453333927784,112.61554368538782,,,,,Maddy,001,2023-12-14_09h12.51.197,Safety_Run1_Tone,2023.1.0,59.93993434150531,
1,7,31,img/gun.png,img/grizzly.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,8,8,29,,,,,,112.61554368538782,112.61554368538782,a,0.816870788577944,0.5,113.46519866865128,113.96754803624935,113.96754803624935,113.96754803624935,a,0.8957858725916594,0.25,114.88279387995135,115.38686555763707,115.38686555763707,115.5665967692039,116.86732096434571,1.0,116.8843239058042,117.88690125534777,,,,,Maddy,001,2023-12-14_09h12.51.197,Safety_Run1_Tone,2023.1.0,59.93993434150531,
