3.6573 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
129.2029 	DATA 	Keypress: lshift
129.2030 	DATA 	Keypress: c
129.3695 	DATA 	Keypress: lshift
129.3696 	DATA 	Keypress: t
130.9700 	DATA 	Keypress: lshift
130.9701 	DATA 	Keypress: t
131.8212 	DATA 	Keypress: lshift
131.8213 	DATA 	Keypress: c
132.5715 	DATA 	Keypress: lshift
132.5716 	DATA 	Keypress: t
134.1740 	DATA 	Keypress: lshift
134.1741 	DATA 	Keypress: t
135.7736 	DATA 	Keypress: lshift
135.7737 	DATA 	Keypress: t
137.1755 	DATA 	Keypress: lshift
137.1756 	DATA 	Keypress: a
137.3753 	DATA 	Keypress: lshift
137.3754 	DATA 	Keypress: t
138.9779 	DATA 	Keypress: lshift
138.9781 	DATA 	Keypress: t
139.2796 	DATA 	Keypress: b
140.5618 	DATA 	Keypress: lshift
140.5619 	DATA 	Keypress: t
142.1620 	DATA 	Keypress: lshift
142.1621 	DATA 	Keypress: t
143.6468 	DATA 	Keypress: lshift
143.6469 	DATA 	Keypress: a
143.7639 	DATA 	Keypress: lshift
143.7640 	DATA 	Keypress: t
145.3645 	DATA 	Keypress: lshift
145.3646 	DATA 	Keypress: t
146.9652 	DATA 	Keypress: lshift
146.9653 	DATA 	Keypress: t
147.0660 	DATA 	Keypress: b
148.5663 	DATA 	Keypress: lshift
148.5664 	DATA 	Keypress: t
150.1679 	DATA 	Keypress: lshift
150.1680 	DATA 	Keypress: t
151.6187 	DATA 	Keypress: lshift
151.6188 	DATA 	Keypress: a
151.7693 	DATA 	Keypress: lshift
151.7694 	DATA 	Keypress: t
153.3782 	DATA 	Keypress: lshift
153.3786 	DATA 	Keypress: t
153.9873 	DATA 	Keypress: b
154.9716 	DATA 	Keypress: lshift
154.9717 	DATA 	Keypress: t
156.5721 	DATA 	Keypress: lshift
156.5722 	DATA 	Keypress: t
158.1728 	DATA 	Keypress: lshift
158.1729 	DATA 	Keypress: t
158.5739 	DATA 	Keypress: c
159.7744 	DATA 	Keypress: lshift
159.7745 	DATA 	Keypress: t
160.7259 	DATA 	Keypress: a
161.3756 	DATA 	Keypress: lshift
161.3757 	DATA 	Keypress: t
162.9620 	DATA 	Keypress: lshift
162.9621 	DATA 	Keypress: t
164.5619 	DATA 	Keypress: lshift
164.5620 	DATA 	Keypress: t
165.0449 	DATA 	Keypress: lshift
165.0450 	DATA 	Keypress: a
166.1628 	DATA 	Keypress: lshift
166.1629 	DATA 	Keypress: t
166.4195 	DATA 	Keypress: lshift
166.4196 	DATA 	Keypress: b
167.7653 	DATA 	Keypress: lshift
167.7654 	DATA 	Keypress: t
169.3651 	DATA 	Keypress: lshift
169.3653 	DATA 	Keypress: t
170.9657 	DATA 	Keypress: lshift
170.9658 	DATA 	Keypress: t
171.6025 	DATA 	Keypress: b
172.5669 	DATA 	Keypress: lshift
172.5670 	DATA 	Keypress: t
174.1685 	DATA 	Keypress: lshift
174.1686 	DATA 	Keypress: t
175.7701 	DATA 	Keypress: lshift
175.7702 	DATA 	Keypress: t
177.3706 	DATA 	Keypress: lshift
177.3707 	DATA 	Keypress: t
178.5891 	DATA 	Keypress: lshift
178.5892 	DATA 	Keypress: b
178.9735 	DATA 	Keypress: lshift
178.9738 	DATA 	Keypress: t
180.5724 	DATA 	Keypress: lshift
180.5725 	DATA 	Keypress: t
182.1737 	DATA 	Keypress: lshift
182.1738 	DATA 	Keypress: t
182.2077 	DATA 	Keypress: b
183.7750 	DATA 	Keypress: lshift
183.7751 	DATA 	Keypress: t
185.3620 	DATA 	Keypress: lshift
185.3621 	DATA 	Keypress: t
186.2766 	DATA 	Keypress: lshift
186.2767 	DATA 	Keypress: a
186.9622 	DATA 	Keypress: lshift
186.9624 	DATA 	Keypress: t
188.5632 	DATA 	Keypress: lshift
188.5633 	DATA 	Keypress: t
190.1647 	DATA 	Keypress: lshift
190.1648 	DATA 	Keypress: t
190.4801 	DATA 	Keypress: lshift
190.4802 	DATA 	Keypress: a
191.7640 	DATA 	Keypress: lshift
191.7641 	DATA 	Keypress: t
193.0657 	DATA 	Keypress: lshift
193.0658 	DATA 	Keypress: c
193.3771 	DATA 	Keypress: lshift
193.3772 	DATA 	Keypress: t
194.9671 	DATA 	Keypress: lshift
194.9672 	DATA 	Keypress: t
196.5671 	DATA 	Keypress: lshift
196.5672 	DATA 	Keypress: t
197.5522 	DATA 	Keypress: lshift
197.5523 	DATA 	Keypress: a
198.1679 	DATA 	Keypress: lshift
198.1680 	DATA 	Keypress: t
199.7691 	DATA 	Keypress: lshift
199.7692 	DATA 	Keypress: t
199.8868 	DATA 	Keypress: b
201.3715 	DATA 	Keypress: lshift
201.3716 	DATA 	Keypress: t
202.9724 	DATA 	Keypress: lshift
202.9725 	DATA 	Keypress: t
204.5744 	DATA 	Keypress: lshift
204.5746 	DATA 	Keypress: t
204.6583 	DATA 	Keypress: lshift
204.6584 	DATA 	Keypress: b
206.1748 	DATA 	Keypress: lshift
206.1749 	DATA 	Keypress: t
207.2918 	DATA 	Keypress: lshift
207.2919 	DATA 	Keypress: c
207.7759 	DATA 	Keypress: lshift
207.7760 	DATA 	Keypress: t
208.0594 	DATA 	Keypress: lshift
208.0595 	DATA 	Keypress: c
209.3785 	DATA 	Keypress: lshift
209.3787 	DATA 	Keypress: t
210.9620 	DATA 	Keypress: lshift
210.9621 	DATA 	Keypress: t
211.7631 	DATA 	Keypress: lshift
211.7633 	DATA 	Keypress: a
212.5129 	DATA 	Keypress: lshift
212.5130 	DATA 	Keypress: a
212.5625 	DATA 	Keypress: lshift
212.5626 	DATA 	Keypress: t
214.1645 	DATA 	Keypress: lshift
214.1646 	DATA 	Keypress: t
214.5310 	DATA 	Keypress: lshift
214.5311 	DATA 	Keypress: c
215.7647 	DATA 	Keypress: lshift
215.7648 	DATA 	Keypress: t
217.3656 	DATA 	Keypress: lshift
217.3657 	DATA 	Keypress: t
218.9665 	DATA 	Keypress: lshift
218.9666 	DATA 	Keypress: t
218.9835 	DATA 	Keypress: lshift
218.9836 	DATA 	Keypress: a
220.5684 	DATA 	Keypress: lshift
220.5685 	DATA 	Keypress: t
221.6208 	DATA 	Keypress: b
221.8043 	DATA 	Keypress: c
222.1690 	DATA 	Keypress: lshift
222.1691 	DATA 	Keypress: t
223.7704 	DATA 	Keypress: lshift
223.7705 	DATA 	Keypress: t
225.3716 	DATA 	Keypress: lshift
225.3717 	DATA 	Keypress: t
226.8897 	DATA 	Keypress: lshift
226.8899 	DATA 	Keypress: a
226.9726 	DATA 	Keypress: lshift
226.9727 	DATA 	Keypress: t
228.5736 	DATA 	Keypress: lshift
228.5737 	DATA 	Keypress: t
229.5426 	DATA 	Keypress: a
230.1750 	DATA 	Keypress: lshift
230.1751 	DATA 	Keypress: t
231.7607 	DATA 	Keypress: lshift
231.7608 	DATA 	Keypress: t
233.3611 	DATA 	Keypress: lshift
233.3612 	DATA 	Keypress: t
234.9628 	DATA 	Keypress: lshift
234.9629 	DATA 	Keypress: t
235.0799 	DATA 	Keypress: lshift
235.0800 	DATA 	Keypress: a
236.5637 	DATA 	Keypress: lshift
236.5638 	DATA 	Keypress: t
238.1644 	DATA 	Keypress: lshift
238.1646 	DATA 	Keypress: t
238.4821 	DATA 	Keypress: lshift
238.4822 	DATA 	Keypress: b
239.7649 	DATA 	Keypress: lshift
239.7650 	DATA 	Keypress: t
241.3666 	DATA 	Keypress: lshift
241.3667 	DATA 	Keypress: t
242.9678 	DATA 	Keypress: lshift
242.9679 	DATA 	Keypress: t
244.2358 	DATA 	Keypress: lshift
244.2359 	DATA 	Keypress: a
244.5686 	DATA 	Keypress: lshift
244.5687 	DATA 	Keypress: t
246.1694 	DATA 	Keypress: lshift
246.1695 	DATA 	Keypress: t
246.4038 	DATA 	Keypress: lshift
246.4039 	DATA 	Keypress: a
247.7710 	DATA 	Keypress: lshift
247.7712 	DATA 	Keypress: t
249.3742 	DATA 	Keypress: lshift
249.3744 	DATA 	Keypress: t
250.9231 	DATA 	Keypress: lshift
250.9232 	DATA 	Keypress: a
250.9742 	DATA 	Keypress: lshift
250.9744 	DATA 	Keypress: t
252.5754 	DATA 	Keypress: lshift
252.5756 	DATA 	Keypress: t
254.1613 	DATA 	Keypress: lshift
254.1614 	DATA 	Keypress: t
255.1268 	DATA 	Keypress: lshift
255.1269 	DATA 	Keypress: a
255.7608 	DATA 	Keypress: lshift
255.7609 	DATA 	Keypress: t
257.3615 	DATA 	Keypress: lshift
257.3616 	DATA 	Keypress: t
258.7132 	DATA 	Keypress: lshift
258.7133 	DATA 	Keypress: b
258.9649 	DATA 	Keypress: lshift
258.9650 	DATA 	Keypress: t
260.5636 	DATA 	Keypress: lshift
260.5637 	DATA 	Keypress: t
262.1651 	DATA 	Keypress: lshift
262.1652 	DATA 	Keypress: t
263.7653 	DATA 	Keypress: lshift
263.7654 	DATA 	Keypress: t
264.0518 	DATA 	Keypress: lshift
264.0520 	DATA 	Keypress: a
265.3666 	DATA 	Keypress: lshift
265.3667 	DATA 	Keypress: t
266.9684 	DATA 	Keypress: lshift
266.9686 	DATA 	Keypress: t
267.6031 	DATA 	Keypress: lshift
267.6032 	DATA 	Keypress: c
268.5687 	DATA 	Keypress: lshift
268.5688 	DATA 	Keypress: t
270.1705 	DATA 	Keypress: lshift
270.1706 	DATA 	Keypress: t
271.7708 	DATA 	Keypress: lshift
271.7709 	DATA 	Keypress: t
273.3725 	DATA 	Keypress: lshift
273.3726 	DATA 	Keypress: t
274.1900 	DATA 	Keypress: lshift
274.1901 	DATA 	Keypress: c
274.9735 	DATA 	Keypress: lshift
274.9736 	DATA 	Keypress: t
276.0085 	DATA 	Keypress: lshift
276.0086 	DATA 	Keypress: c
276.5749 	DATA 	Keypress: lshift
276.5750 	DATA 	Keypress: t
278.1608 	DATA 	Keypress: lshift
278.1609 	DATA 	Keypress: t
279.5616 	DATA 	Keypress: lshift
279.5618 	DATA 	Keypress: c
279.7607 	DATA 	Keypress: lshift
279.7608 	DATA 	Keypress: t
281.1453 	DATA 	Keypress: lshift
281.1454 	DATA 	Keypress: c
281.3612 	DATA 	Keypress: lshift
281.3613 	DATA 	Keypress: t
282.0950 	DATA 	Keypress: lshift
282.0951 	DATA 	Keypress: c
282.9629 	DATA 	Keypress: lshift
282.9630 	DATA 	Keypress: t
284.5642 	DATA 	Keypress: lshift
284.5643 	DATA 	Keypress: t
285.2975 	DATA 	Keypress: lshift
285.2976 	DATA 	Keypress: c
286.1651 	DATA 	Keypress: lshift
286.1652 	DATA 	Keypress: t
286.8491 	DATA 	Keypress: lshift
286.8492 	DATA 	Keypress: c
287.7661 	DATA 	Keypress: lshift
287.7662 	DATA 	Keypress: t
287.8836 	DATA 	Keypress: lshift
287.8837 	DATA 	Keypress: c
289.2029 	DATA 	Keypress: lshift
289.2031 	DATA 	Keypress: c
289.3678 	DATA 	Keypress: lshift
289.3679 	DATA 	Keypress: t
290.9691 	DATA 	Keypress: lshift
290.9692 	DATA 	Keypress: t
292.5695 	DATA 	Keypress: lshift
292.5696 	DATA 	Keypress: t
292.8359 	DATA 	Keypress: lshift
292.8360 	DATA 	Keypress: c
294.1709 	DATA 	Keypress: lshift
294.1710 	DATA 	Keypress: t
294.9885 	DATA 	Keypress: lshift
294.9886 	DATA 	Keypress: c
295.7717 	DATA 	Keypress: lshift
295.7718 	DATA 	Keypress: t
296.8571 	DATA 	Keypress: lshift
296.8572 	DATA 	Keypress: c
297.3731 	DATA 	Keypress: lshift
297.3732 	DATA 	Keypress: t
298.9612 	DATA 	Keypress: lshift
298.9613 	DATA 	Keypress: t
300.5769 	DATA 	Keypress: lshift
300.5771 	DATA 	Keypress: t
301.0430 	DATA 	Keypress: lshift
301.0431 	DATA 	Keypress: b
302.1603 	DATA 	Keypress: lshift
302.1605 	DATA 	Keypress: t
303.7623 	DATA 	Keypress: lshift
303.7625 	DATA 	Keypress: t
304.1450 	DATA 	Keypress: a
305.3624 	DATA 	Keypress: lshift
305.3625 	DATA 	Keypress: t
306.9632 	DATA 	Keypress: lshift
306.9633 	DATA 	Keypress: t
308.0305 	DATA 	Keypress: lshift
308.0306 	DATA 	Keypress: a
308.5643 	DATA 	Keypress: lshift
308.5644 	DATA 	Keypress: t
308.5818 	DATA 	Keypress: lshift
308.5819 	DATA 	Keypress: a
310.1653 	DATA 	Keypress: lshift
310.1654 	DATA 	Keypress: t
311.1502 	DATA 	Keypress: lshift
311.1503 	DATA 	Keypress: b
311.7663 	DATA 	Keypress: lshift
311.7664 	DATA 	Keypress: t
313.3680 	DATA 	Keypress: lshift
313.3681 	DATA 	Keypress: t
314.9687 	DATA 	Keypress: lshift
314.9688 	DATA 	Keypress: t
316.5041 	DATA 	Keypress: lshift
316.5041 	DATA 	Keypress: a
316.5721 	DATA 	Keypress: lshift
316.5723 	DATA 	Keypress: t
318.1721 	DATA 	Keypress: lshift
318.1722 	DATA 	Keypress: t
318.8222 	DATA 	Keypress: lshift
318.8223 	DATA 	Keypress: b
319.7724 	DATA 	Keypress: lshift
319.7725 	DATA 	Keypress: t
321.3757 	DATA 	Keypress: lshift
