RunNum,SetNum,BattleNum,FirstStim,SecondStim,Outcome,OutcomeNum,Tone,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,trigger.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,wait.started,firststim_image.started,firststim_resp.started,firststim_resp.keys,firststim_resp.rt,isi_stim,isi_stim.started,isi_stim.stopped,secondstim_image.started,secondstim_resp.started,secondstim_resp.keys,secondstim_resp.rt,isi_outcome,isi_outcome.started,isi_outcome.stopped,outcome_image.started,tone.started,tone.stopped,jitter_iti,iti.started,iti.stopped,outcome_image.stopped,completion_prompt.started,completion_prompt_resp.started,completion_prompt_resp.keys,completion_prompt_resp.rt,participant,run,date,expName,psychopyVersion,frameRate,
4,5,21,img/fist.png,img/goose.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,10,10,5,,,,,,120.13592966482975,120.13592966482975,c,0.7616274423198774,1.0,120.91695108718704,121.91917145927437,121.91917145927437,121.91917145927437,a,1.0205712949391454,0.25,122.96799660485703,123.2204309500521,123.2204309500521,123.40188606467564,124.70243856927846,2.0,124.71900090645067,126.72296236199327,,,,,,Maddy,004,2023-12-14_09h29.05.877,Safety_Run4_Tone,2023.1.0,59.989847056605946,
4,4,34,img/grizzly.png,img/stick.png,img/won.png,1,img/Silent.wav,0,11,11,25,,,,,,126.72296236199327,126.72296236199327,c,0.4693646396044642,0.5,127.22116054967046,127.72266710887197,127.72266710887197,127.72266710887197,c,0.5298693518852815,0.25,128.2718647341244,128.56559925153852,128.56559925153852,128.7054401675705,130.01264724612702,1.0,130.02444827044383,131.0258010874968,,,,,,Maddy,004,2023-12-14_09h29.05.877,Safety_Run4_Tone,2023.1.0,59.989847056605946,
4,4,1,img/grizzly.png,img/fist.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,12,12,18,,,,,,131.0258010874968,131.0258010874968,c,1.363513819873333,0.5,132.4082139544189,132.909378042561,132.909378042561,132.909378042561,c,0.5818370378110558,0.25,133.50884323043283,133.76246911287308,133.76246911287308,133.94256401481107,135.2434584214352,0.5,135.26017179863993,135.76264774391893,,,,,,Maddy,004,2023-12-14_09h29.05.877,Safety_Run4_Tone,2023.1.0,59.989847056605946,
4,2,19,img/goose.png,img/gun.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,13,13,11,,,,,,135.76264774391893,135.76264774391893,c,0.8805308412993327,0.5,136.6612180415541,137.16225469880737,137.16225469880737,137.16225469880737,a,0.5302052805200219,0.25,137.7122885902645,137.96337865188252,137.96337865188252,138.1454109038459,139.44701585231815,2.0,139.46367746056058,141.46651678346097,,,,,,Maddy,004,2023-12-14_09h29.05.877,Safety_Run4_Tone,2023.1.0,59.989847056605946,
4,2,17,img/goose.png,img/fist.png,img/won.png,1,img/Silent.wav,0,14,14,9,,,,,,141.46651678346097,141.46651678346097,c,0.8329313661670312,2.0,142.33342445024755,144.3341679875739,144.3341679875739,144.3341679875739,c,1.0072627159534022,0.25,145.3674573553726,145.66136026370805,145.66136026370805,145.80127911746968,147.10421441181097,0.5,147.1190075055929,147.62094556668308,,,,,,Maddy,004,2023-12-14_09h29.05.877,Safety_Run4_Tone,2023.1.0,59.989847056605946,
4,2,18,img/goose.png,img/stick.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,15,15,12,,,,,,147.62094556668308,147.62094556668308,c,0.7554737747414038,1.5,148.40294689964503,149.9053087827051,149.9053087827051,149.9053087827051,c,1.378085331642069,0.25,151.3066047678003,151.56153112940956,151.56153112940956,151.75513229926582,,0.5,153.05741223390214,153.55877913092263,,,,,,Maddy,004,2023-12-14_09h29.05.877,Safety_Run4_Tone,2023.1.0,59.989847056605946,
4,1,10,img/cat.png,img/stick.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,16,16,3,,,,,,153.55877913092263,153.55877913092263,a,1.3198812047485262,0.5,154.90767422132194,155.40915518056136,155.40915518056136,155.40915518056136,a,0.6152037744177505,0.25,156.0584874333581,156.30979111255147,156.30979111255147,156.4921692488715,157.79313903313596,1.0,157.80960807274096,158.8116427026689,,,,,,Maddy,004,2023-12-14_09h29.05.877,Safety_Run4_Tone,2023.1.0,59.989847056605946,
4,6,30,img/stick.png,img/lion.png,img/won.png,1,img/Silent.wav,0,17,17,39,,,,,,158.8116427026689,158.8116427026689,c,1.107570569962263,2.0,159.94604632398114,161.94837990484666,161.94837990484666,161.94837990484666,c,0.5378161562839523,0.25,162.51484898710623,162.81325436395127,162.81325436395127,162.96319162973668,164.2652954934165,0.5,164.28109694225714,164.7835649230983,,,,,,Maddy,004,2023-12-14_09h29.05.877,Safety_Run4_Tone,2023.1.0,59.989847056605946,
4,7,23,img/gun.png,img/goose.png,img/won.png,1,img/Silent.wav,0,18,18,27,,,,,,164.7835649230983,164.7835649230983,a,1.338741282816045,0.5,166.14889605750795,166.65065890096594,166.65065890096594,166.65065890096594,a,0.8412692814599723,0.25,167.51658523490187,167.80743036733475,167.80743036733475,167.95009553059936,169.25420586427208,1.0,169.26970068202354,170.28645103704184,,,,,,Maddy,004,2023-12-14_09h29.05.877,Safety_Run4_Tone,2023.1.0,59.989847056605946,
4,8,32,img/grenade.png,img/lion.png,img/won.png,1,img/Silent.wav,0,19,19,17,,,,,,170.28645103704184,170.28645103704184,a,1.0718574523925781,0.5,171.3858987315325,171.88866253441665,171.88866253441665,171.88866253441665,a,0.37575857737101614,0.25,172.2866669301875,172.57844503980596,172.57844503980596,172.72035073686857,174.02352695551235,2.0,174.03856694686692,176.04162187851034,,,,,,Maddy,004,2023-12-14_09h29.05.877,Safety_Run4_Tone,2023.1.0,59.989847056605946,
4,7,39,img/gun.png,img/grizzly.png,img/won.png,1,img/Silent.wav,0,20,20,29,,,,,,176.04162187851034,176.04162187851034,a,0.8129673597868532,0.5,176.87347662309185,177.3760057593463,177.3760057593463,177.3760057593463,a,0.582453144248575,0.25,177.99232711538207,178.28609064605553,178.28609064605553,178.441290131188,179.74364658130798,1.5,179.75872440391686,181.2618167399196,,,,,,Maddy,004,2023-12-14_09h29.05.877,Safety_Run4_Tone,2023.1.0,59.989847056605946,
