3.5636 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
18.5028 	WARNING 	Monitor specification not found. Creating a temporary one...
18.5076 	WARNING 	User requested fullscreen with size [1512  982], but screen is actually [1920, 1080]. Using actual size
47.0534 	DATA 	Keypress: lshift
47.0535 	DATA 	Keypress: t
48.6533 	DATA 	Keypress: lshift
48.6534 	DATA 	Keypress: t
50.2545 	DATA 	Keypress: lshift
50.2546 	DATA 	Keypress: t
51.8555 	DATA 	Keypress: lshift
51.8556 	DATA 	Keypress: t
53.4563 	DATA 	Keypress: lshift
53.4564 	DATA 	Keypress: t
55.0575 	DATA 	Keypress: lshift
55.0576 	DATA 	Keypress: t
56.6588 	DATA 	Keypress: lshift
56.6589 	DATA 	Keypress: t
58.1045 	DATA 	Keypress: lshift
58.1046 	DATA 	Keypress: a
58.2599 	DATA 	Keypress: lshift
58.2600 	DATA 	Keypress: t
59.8606 	DATA 	Keypress: lshift
59.8607 	DATA 	Keypress: t
61.0961 	DATA 	Keypress: lshift
61.0962 	DATA 	Keypress: a
61.4629 	DATA 	Keypress: lshift
61.4630 	DATA 	Keypress: t
63.0633 	DATA 	Keypress: lshift
63.0634 	DATA 	Keypress: t
64.6644 	DATA 	Keypress: lshift
64.6645 	DATA 	Keypress: t
66.2501 	DATA 	Keypress: lshift
66.2502 	DATA 	Keypress: t
67.7672 	DATA 	Keypress: c
67.8505 	DATA 	Keypress: lshift
67.8506 	DATA 	Keypress: t
69.4531 	DATA 	Keypress: lshift
69.4532 	DATA 	Keypress: t
71.0541 	DATA 	Keypress: lshift
71.0542 	DATA 	Keypress: t
72.4546 	DATA 	Keypress: lshift
72.4548 	DATA 	Keypress: a
72.6540 	DATA 	Keypress: lshift
72.6541 	DATA 	Keypress: t
74.2548 	DATA 	Keypress: lshift
74.2549 	DATA 	Keypress: t
75.0746 	DATA 	Keypress: lshift
75.0749 	DATA 	Keypress: a
75.8555 	DATA 	Keypress: lshift
75.8556 	DATA 	Keypress: t
77.4571 	DATA 	Keypress: lshift
77.4572 	DATA 	Keypress: t
79.0579 	DATA 	Keypress: lshift
79.0581 	DATA 	Keypress: t
79.1586 	DATA 	Keypress: c
80.4098 	DATA 	Keypress: c
80.6598 	DATA 	Keypress: lshift
80.6599 	DATA 	Keypress: t
82.2615 	DATA 	Keypress: lshift
82.2617 	DATA 	Keypress: t
83.8616 	DATA 	Keypress: lshift
83.8617 	DATA 	Keypress: t
84.2293 	DATA 	Keypress: lshift
84.2294 	DATA 	Keypress: a
85.4631 	DATA 	Keypress: lshift
85.4632 	DATA 	Keypress: t
86.8331 	DATA 	Keypress: lshift
86.8333 	DATA 	Keypress: a
87.0501 	DATA 	Keypress: lshift
87.0502 	DATA 	Keypress: t
88.6670 	DATA 	Keypress: lshift
88.6673 	DATA 	Keypress: t
90.2521 	DATA 	Keypress: lshift
90.2522 	DATA 	Keypress: t
91.6848 	DATA 	Keypress: lshift
91.6849 	DATA 	Keypress: a
91.8510 	DATA 	Keypress: lshift
91.8511 	DATA 	Keypress: t
93.4533 	DATA 	Keypress: lshift
93.4534 	DATA 	Keypress: t
94.4866 	DATA 	Keypress: lshift
94.4867 	DATA 	Keypress: a
95.0502 	DATA 	Keypress: lshift
95.0503 	DATA 	Keypress: t
96.6544 	DATA 	Keypress: lshift
96.6545 	DATA 	Keypress: t
98.2551 	DATA 	Keypress: lshift
98.2552 	DATA 	Keypress: t
98.5061 	DATA 	Keypress: c
99.8561 	DATA 	Keypress: lshift
99.8562 	DATA 	Keypress: t
101.4573 	DATA 	Keypress: lshift
101.4574 	DATA 	Keypress: t
101.6088 	DATA 	Keypress: c
103.0585 	DATA 	Keypress: lshift
103.0586 	DATA 	Keypress: t
104.6607 	DATA 	Keypress: lshift
104.6610 	DATA 	Keypress: t
106.2474 	DATA 	Keypress: c
106.2634 	DATA 	Keypress: lshift
106.2636 	DATA 	Keypress: t
107.8627 	DATA 	Keypress: lshift
107.8628 	DATA 	Keypress: t
109.4634 	DATA 	Keypress: lshift
109.4635 	DATA 	Keypress: t
109.5809 	DATA 	Keypress: lshift
109.5810 	DATA 	Keypress: a
111.0645 	DATA 	Keypress: lshift
111.0646 	DATA 	Keypress: t
112.6500 	DATA 	Keypress: lshift
112.6501 	DATA 	Keypress: t
113.4337 	DATA 	Keypress: lshift
113.4338 	DATA 	Keypress: a
114.2501 	DATA 	Keypress: lshift
114.2502 	DATA 	Keypress: t
114.8678 	DATA 	Keypress: lshift
114.8679 	DATA 	Keypress: a
115.8519 	DATA 	Keypress: lshift
115.8520 	DATA 	Keypress: t
117.4526 	DATA 	Keypress: lshift
117.4527 	DATA 	Keypress: t
119.0533 	DATA 	Keypress: lshift
119.0534 	DATA 	Keypress: t
119.3731 	DATA 	Keypress: c
120.5549 	DATA 	Keypress: c
120.6547 	DATA 	Keypress: lshift
120.6548 	DATA 	Keypress: t
122.2555 	DATA 	Keypress: lshift
122.2556 	DATA 	Keypress: t
123.8570 	DATA 	Keypress: lshift
123.8571 	DATA 	Keypress: t
125.4577 	DATA 	Keypress: lshift
125.4579 	DATA 	Keypress: t
125.9089 	DATA 	Keypress: lshift
125.9090 	DATA 	Keypress: a
127.0589 	DATA 	Keypress: lshift
127.0590 	DATA 	Keypress: t
128.4773 	DATA 	Keypress: lshift
128.4774 	DATA 	Keypress: a
128.6604 	DATA 	Keypress: lshift
128.6605 	DATA 	Keypress: t
130.2623 	DATA 	Keypress: lshift
130.2624 	DATA 	Keypress: t
131.8626 	DATA 	Keypress: lshift
131.8628 	DATA 	Keypress: t
132.6305 	DATA 	Keypress: c
133.4639 	DATA 	Keypress: lshift
133.4640 	DATA 	Keypress: t
134.9988 	DATA 	Keypress: c
135.0497 	DATA 	Keypress: lshift
135.0498 	DATA 	Keypress: t
136.6499 	DATA 	Keypress: lshift
136.6500 	DATA 	Keypress: t
138.2507 	DATA 	Keypress: lshift
138.2508 	DATA 	Keypress: t
138.9522 	DATA 	Keypress: lshift
138.9523 	DATA 	Keypress: a
139.8526 	DATA 	Keypress: lshift
139.8527 	DATA 	Keypress: t
141.4526 	DATA 	Keypress: lshift
141.4528 	DATA 	Keypress: t
141.9539 	DATA 	Keypress: lshift
141.9540 	DATA 	Keypress: a
143.0539 	DATA 	Keypress: lshift
143.0540 	DATA 	Keypress: t
144.6550 	DATA 	Keypress: lshift
144.6551 	DATA 	Keypress: t
146.2559 	DATA 	Keypress: lshift
146.2560 	DATA 	Keypress: t
146.5071 	DATA 	Keypress: lshift
146.5072 	DATA 	Keypress: a
147.8578 	DATA 	Keypress: lshift
147.8579 	DATA 	Keypress: t
149.2591 	DATA 	Keypress: lshift
149.2592 	DATA 	Keypress: a
149.4606 	DATA 	Keypress: lshift
149.4609 	DATA 	Keypress: t
151.0595 	DATA 	Keypress: lshift
151.0596 	DATA 	Keypress: t
152.6610 	DATA 	Keypress: lshift
152.6611 	DATA 	Keypress: t
154.2127 	DATA 	Keypress: c
154.2625 	DATA 	Keypress: lshift
154.2626 	DATA 	Keypress: t
155.8638 	DATA 	Keypress: lshift
155.8639 	DATA 	Keypress: t
156.9649 	DATA 	Keypress: c
157.4497 	DATA 	Keypress: lshift
157.4498 	DATA 	Keypress: t
159.0497 	DATA 	Keypress: lshift
159.0499 	DATA 	Keypress: t
160.6525 	DATA 	Keypress: lshift
160.6526 	DATA 	Keypress: t
162.0350 	DATA 	Keypress: c
162.2520 	DATA 	Keypress: lshift
162.2521 	DATA 	Keypress: t
163.8526 	DATA 	Keypress: lshift
163.8527 	DATA 	Keypress: t
165.1037 	DATA 	Keypress: c
165.4539 	DATA 	Keypress: lshift
165.4540 	DATA 	Keypress: t
167.0541 	DATA 	Keypress: lshift
167.0542 	DATA 	Keypress: t
168.6557 	DATA 	Keypress: lshift
168.6558 	DATA 	Keypress: t
170.2565 	DATA 	Keypress: lshift
170.2566 	DATA 	Keypress: t
170.3076 	DATA 	Keypress: c
171.8575 	DATA 	Keypress: lshift
171.8577 	DATA 	Keypress: t
172.8096 	DATA 	Keypress: lshift
172.8098 	DATA 	Keypress: a
173.4602 	DATA 	Keypress: lshift
173.4604 	DATA 	Keypress: t
175.0630 	DATA 	Keypress: lshift
175.0632 	DATA 	Keypress: t
176.6627 	DATA 	Keypress: lshift
176.6630 	DATA 	Keypress: t
177.6132 	DATA 	Keypress: lshift
177.6133 	DATA 	Keypress: a
178.2648 	DATA 	Keypress: lshift
178.2650 	DATA 	Keypress: t
179.8146 	DATA 	Keypress: lshift
179.8147 	DATA 	Keypress: a
179.8643 	DATA 	Keypress: lshift
179.8644 	DATA 	Keypress: t
181.4666 	DATA 	Keypress: lshift
181.4669 	DATA 	Keypress: t
183.0500 	DATA 	Keypress: lshift
183.0501 	DATA 	Keypress: t
183.8010 	DATA 	Keypress: lshift
183.8011 	DATA 	Keypress: a
184.6508 	DATA 	Keypress: lshift
184.6509 	DATA 	Keypress: t
186.2519 	DATA 	Keypress: lshift
186.2520 	DATA 	Keypress: t
187.1369 	DATA 	Keypress: c
187.8535 	DATA 	Keypress: lshift
187.8536 	DATA 	Keypress: t
189.4541 	DATA 	Keypress: lshift
189.4542 	DATA 	Keypress: t
191.0561 	DATA 	Keypress: lshift
191.0562 	DATA 	Keypress: t
192.6564 	DATA 	Keypress: lshift
192.6565 	DATA 	Keypress: t
193.7412 	DATA 	Keypress: lshift
193.7413 	DATA 	Keypress: a
194.2578 	DATA 	Keypress: lshift
194.2579 	DATA 	Keypress: t
195.6593 	DATA 	Keypress: lshift
195.6594 	DATA 	Keypress: a
195.8587 	DATA 	Keypress: lshift
195.8588 	DATA 	Keypress: t
197.4606 	DATA 	Keypress: lshift
197.4608 	DATA 	Keypress: t
199.0610 	DATA 	Keypress: lshift
199.0611 	DATA 	Keypress: t
200.6651 	DATA 	Keypress: lshift
