3.5020 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
9.6677 	WARNING 	Monitor specification not found. Creating a temporary one...
9.6704 	WARNING 	User requested fullscreen with size [1512  982], but screen is actually [1920, 1080]. Using actual size
25.5786 	DATA 	Keypress: c
43.9271 	DATA 	Keypress: lshift
43.9273 	DATA 	Keypress: t
45.5127 	DATA 	Keypress: lshift
45.5128 	DATA 	Keypress: t
47.1122 	DATA 	Keypress: lshift
47.1124 	DATA 	Keypress: t
48.7117 	DATA 	Keypress: lshift
48.7118 	DATA 	Keypress: t
50.3117 	DATA 	Keypress: lshift
50.3118 	DATA 	Keypress: t
50.3970 	DATA 	Keypress: c
51.9123 	DATA 	Keypress: lshift
51.9124 	DATA 	Keypress: t
52.0300 	DATA 	Keypress: c
53.5136 	DATA 	Keypress: lshift
53.5137 	DATA 	Keypress: t
55.1158 	DATA 	Keypress: lshift
55.1159 	DATA 	Keypress: t
56.7159 	DATA 	Keypress: lshift
56.7160 	DATA 	Keypress: t
56.8331 	DATA 	Keypress: c
58.3182 	DATA 	Keypress: lshift
58.3184 	DATA 	Keypress: t
59.4512 	DATA 	Keypress: lshift
59.4513 	DATA 	Keypress: a
59.9177 	DATA 	Keypress: lshift
59.9178 	DATA 	Keypress: t
61.5199 	DATA 	Keypress: lshift
61.5200 	DATA 	Keypress: t
63.1205 	DATA 	Keypress: lshift
63.1206 	DATA 	Keypress: t
64.7232 	DATA 	Keypress: lshift
64.7234 	DATA 	Keypress: t
64.7910 	DATA 	Keypress: c
66.1417 	DATA 	Keypress: lshift
66.1419 	DATA 	Keypress: a
66.3233 	DATA 	Keypress: lshift
66.3234 	DATA 	Keypress: t
67.9242 	DATA 	Keypress: lshift
67.9243 	DATA 	Keypress: t
69.5270 	DATA 	Keypress: lshift
69.5272 	DATA 	Keypress: t
70.6269 	DATA 	Keypress: lshift
70.6270 	DATA 	Keypress: a
71.1118 	DATA 	Keypress: lshift
71.1119 	DATA 	Keypress: t
72.0436 	DATA 	Keypress: lshift
72.0437 	DATA 	Keypress: a
72.7111 	DATA 	Keypress: lshift
72.7112 	DATA 	Keypress: t
74.3134 	DATA 	Keypress: lshift
74.3135 	DATA 	Keypress: t
75.9132 	DATA 	Keypress: lshift
75.9133 	DATA 	Keypress: t
77.0989 	DATA 	Keypress: c
77.5147 	DATA 	Keypress: lshift
77.5148 	DATA 	Keypress: t
78.7505 	DATA 	Keypress: c
79.1150 	DATA 	Keypress: lshift
79.1151 	DATA 	Keypress: t
80.7167 	DATA 	Keypress: lshift
80.7168 	DATA 	Keypress: t
82.3179 	DATA 	Keypress: lshift
82.3180 	DATA 	Keypress: t
83.9187 	DATA 	Keypress: lshift
83.9188 	DATA 	Keypress: t
84.5544 	DATA 	Keypress: c
