RunNumH,SetNumH,BattleNumH,FirstStimH,SecondStimH,ConfidenceH,OutcomeH,OutcomeNumH,ToneH,RunNumL,SetNumL,BattleNumL,FirstStimL,SecondStimL,ConfidenceL,OutcomeL,OutcomeNumL,ToneL,RunNumA,SetNumA,BattleNumA,FirstStimA,SecondStimA,ConfidenceA,OutcomeA,OutcomeNumA,ToneA,FullLoop.thisRepN,FullLoop.thisTrialN,FullLoop.thisN,FullLoop.thisIndex,loopH.thisRepN,loopH.thisTrialN,loopH.thisN,loopH.thisIndex,loop1.thisRepN,loop1.thisTrialN,loop1.thisN,loop1.thisIndex,loopL.thisRepN,loopL.thisTrialN,loopL.thisN,loopL.thisIndex,loop2.thisRepN,loop2.thisTrialN,loop2.thisN,loop2.thisIndex,loopA.thisRepN,loopA.thisTrialN,loopA.thisN,loopA.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trigger_image.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,wait.started,firststim_img_loop1.started,isi_conf_stim1_loop1.started,conf_img_stim1_loop1.started,conf_resp_stim1_loop1.started,conf_resp_stim1_loop1.keys,conf_resp_stim1_loop1.rt,isi_stim_1,isi_stim_loop1.started,isi_stim_loop1.stopped,secondstim_img_loop1.started,isi_conf_stim2_loop1.started,conf_img_stim2_loop1.started,conf_resp_stim2_loop1.started,conf_resp_stim2_loop1.keys,conf_resp_stim2_loop1.rt,isi_outcome.started,outcome_img_loop1.started,Tone_loop1.started,Tone_loop1.stopped,jitter_iti_1,iti_loop1.started,iti_loop1.stopped,firststim_img_loop2.started,isi_conf_stim1_loop2.started,conf_img_stim1_loop2.started,conf_resp_stim1_loop2.started,conf_resp_stim1_loop2.keys,conf_resp_stim1_loop2.rt,isi_stim_2,isi_stim_loop2.started,isi_stim_loop2.stopped,secondstim_img_loop2.started,isi_conf_loop2.started,conf_img_stim2_loop2.started,conf_resp_stim2_loop2.started,conf_resp_stim2_loop2.keys,conf_resp_stim2_loop2.rt,outcome_image_loop2.started,Tone_loop2.started,Tone_loop2.stopped,jitter_iti_2,iti_loop2.started,iti_loop2.stopped,firststim_img_loop3.started,isi_conf_stim1_loop3.started,conf_img_stim1_loop3.started,conf_resp_stim1_loop3.started,conf_resp_stim1_loop3.keys,conf_resp_stim1_loop3.rt,isi_stim_3,isi_stim_loop3.started,isi_stim_loop3.stopped,secondstim_img_loop3.started,isi_conf_stim2_loop3.started,conf_img_stim2_loop3.started,conf_resp_stim2_loop3.started,conf_resp_stim2_loop3.keys,conf_resp_stim2_loop3.rt,outcome_img_loop3.started,Tone_loop3.started,Tone_loop3.stopped,jitter_iti_3,iti_loop3.started,iti_loop3.stopped,completion_prompt.started,completion_prompt_resp.started,completion_prompt_resp.keys,completion_prompt_resp.rt,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,3,1,66,img/Agent_AW.png,img/LM.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,12,12,17,,,,,,,,,,,,,,,,,,,,,508.6402542135911,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.4396396433003,505.43785987538286,505.69017276295926,505.69017276295926,['a'],[0.808741086628288],0.5,506.52271956042387,507.02444371941965,507.02444371941965,508.0233542978531,508.27568880317267,508.27568880317267,['a'],[0.33520023606251925],508.90917153609917,509.07395045037845,510.3761818304192,1.0,510.3928684698185,511.39690729416907,,,,,Maddy,003,2023-12-14_10h01.20.460,Gen_Run3_Tone,2023.1.0,59.9463733386448,
,,,,,,,,,,,,,,,,,,3,1,62,img/Agent_AS.png,img/HW.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,515.5282286773436,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.39690729416907,512.3938136781799,512.6482379956869,512.6482379956869,['c'],[0.7056860696757212],0.5,513.3771938831778,513.8795910374029,513.8795910374029,514.8780558916042,515.1302860059077,515.1302860059077,['a'],[0.37261717475485057],515.7975806307513,515.9618205231149,517.2638385699829,1.0,517.2824346837588,518.299324416439,,,,,Maddy,003,2023-12-14_10h01.20.460,Gen_Run3_Tone,2023.1.0,59.9463733386448,
,,,,,,,,,,,,,,,,,,3,1,65,img/Agent_AW.png,img/LS.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,14,14,16,,,,,,,,,,,,,,,,,,,,,522.8176678015152,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.299324416439,519.2982827814994,519.5501556337113,519.5501556337113,['a'],[0.19055320718325675],1.0,519.7645970406011,520.7706423349446,520.7706423349446,521.7674298211932,522.0214758277871,522.0214758277871,['a'],[0.7796165520558134],523.0861479332671,523.2673426959431,524.5682576678228,0.5,524.5850034717005,525.0875047324225,,,,,Maddy,003,2023-12-14_10h01.20.460,Gen_Run3_Tone,2023.1.0,59.9463733386448,
,,,,,,,,,,,,,,,,,,3,1,50,img/Agent_AM.png,img/LM.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,15,15,1,,,,,,,,,,,,,,,,,,,,,530.1555694048293,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.0875047324225,526.0864059241721,526.3384713452542,526.3384713452542,['a'],[0.5414755319943652],1.5,526.9040569434874,528.4066873419797,528.4066873419797,529.4051820628811,529.6571994128171,529.6571994128171,['a'],[0.46773904061410576],530.424598513986,530.5890147618251,531.8910160264932,1.5,531.9076085147681,533.4102400511038,,,,,Maddy,003,2023-12-14_10h01.20.460,Gen_Run3_Tone,2023.1.0,59.9463733386448,
,,,,,,,,,,,,,,,,,,3,1,58,img/Agent_AS.png,img/LM.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,16,16,9,,,,,,,,,,,,,,,,,,,,,537.0772562049096,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.4102400511038,534.4096580781043,534.6655748747289,534.6655748747289,['a'],[0.3195077293785289],0.5,535.0093346080976,535.5137993877288,535.5137993877288,536.5109762782231,536.765670817811,536.765670817811,['a'],[0.2802353606093675],537.346924460493,537.5108725129161,538.8131223819219,0.5,538.8297868346563,539.3311665316578,,,,,Maddy,003,2023-12-14_10h01.20.460,Gen_Run3_Tone,2023.1.0,59.9463733386448,
,,,,,,,,,,,,,,,,,,3,1,54,img/Agent_AM.png,img/AS.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,17,17,5,,,,,,,,,,,,,,,,,,,,,544.3993429905968,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.3311665316578,540.3297949412372,540.5819212334463,540.5819212334463,['a'],[0.2632853257237002],2.0,540.8636229042895,542.8669193290407,542.8669193290407,543.8653767877258,544.1175596842077,544.1175596842077,['a'],[0.25032888865098357],544.670971920481,544.8328219119925,546.1343399058096,1.5,546.1506104032742,547.6536646237364,,,,,Maddy,003,2023-12-14_10h01.20.460,Gen_Run3_Tone,2023.1.0,59.9463733386448,
,,,,,,,,,,,,,,,,,,3,1,52,img/Agent_AM.png,img/HS.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,18,18,3,,,,,,,,,,,,,,,,,,,,,551.9555137675488,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.6536646237364,548.6521351668052,548.9044995388249,548.9044995388249,['a'],[0.3816826983820647],1.0,549.303203667514,550.3057773193577,550.3057773193577,551.3043383157346,551.5563633457059,551.5563633457059,['a'],[0.3815936674363911],552.226708919974,552.4051582264714,553.7058157762513,0.5,553.7222794113914,554.2250412231078,,,,,Maddy,003,2023-12-14_10h01.20.460,Gen_Run3_Tone,2023.1.0,59.9463733386448,
,,,,,,,,,,,,,,,,,,3,1,53,img/Agent_AM.png,img/HM.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,19,19,4,,,,,,,,,,,,,,,,,,,,,558.0089093638817,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.2250412231078,555.2246410100488,555.4784549101023,555.4784549101023,['a'],[0.5197593488264829],0.5,556.024224981782,556.5273725000443,556.5273725000443,557.525302883354,557.7774994332576,557.7774994332576,['a'],[0.2115375151624903],558.2781048729084,558.4425711829448,559.744812234072,0.5,559.7611120291986,560.2638260544045,,,,,Maddy,003,2023-12-14_10h01.20.460,Gen_Run3_Tone,2023.1.0,59.9463733386448,
,,,,,,,,,,,,,,,,,,3,1,67,img/Agent_AW.png,img/LW.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,20,20,18,,,,,,,,,,,,,,,,,,,,,564.1804221551865,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.2638260544045,561.262418339611,561.5137055211235,561.5137055211235,['a'],[0.35924914677161723],1.0,561.8951416063355,562.898519097711,562.898519097711,563.8979038447142,564.1513465450844,564.1513465450844,['a'],[0.011615282273851335],564.4536923285341,564.6304810493951,565.9316164655611,0.5,565.948290873901,566.45070338808,,,,,Maddy,003,2023-12-14_10h01.20.460,Gen_Run3_Tone,2023.1.0,59.9463733386448,
,,,,,,,,,,,,,,,,,,3,1,55,img/Agent_AM.png,img/AW.png,img/confidence.png,img/won.png,1,img/Silent.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,21,21,6,,,,,,,,,,,,,,,,,,,,,570.9528599024052,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.45070338808,567.448982784641,567.7012928277254,567.7012928277254,['a'],[0.569568102597259],0.5,568.299759616144,568.8050461553503,568.8050461553503,569.8010306553915,570.0530758809764,570.0530758809764,['b'],[0.8791168687166646],571.2545625574421,571.3852272155694,572.6935798365157,1.5,572.7204419012414,574.2255765472073,,,,,Maddy,003,2023-12-14_10h01.20.460,Gen_Run3_Tone,2023.1.0,59.9463733386448,
,,,,,,,,,,,,,,,,,,3,1,64,img/Agent_AS.png,img/AW.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,22,22,15,,,,,,,,,,,,,,,,,,,,,578.3569343391573,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.2255765472073,575.2378744957969,575.4902053034166,575.4902053034166,['c'],[0.6916771887335926],0.5,576.205243047676,576.7077619440388,576.7077619440388,577.7067220157478,577.9590866721701,577.9590866721701,['c'],[0.36496818356681615],578.6308920144802,578.7905341493664,580.0921929430915,2.0,580.1090772713069,582.1133982643951,,,,,Maddy,003,2023-12-14_10h01.20.460,Gen_Run3_Tone,2023.1.0,59.9463733386448,
,,,,,,,,,,,,,,,,,,3,1,60,img/Agent_AS.png,img/HS.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,23,23,11,,,,,,,,,,,,,,,,,,,,,586.8297307990724,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.1133982643951,583.11315705569,583.3625580871012,583.3625580871012,['c'],[0.847471020068042],1.0,584.2291232830612,585.2360802212497,585.2360802212497,586.2457720913226,586.4993063826114,586.4993063826114,['a'],[0.30758780729956925],587.0843840942252,587.2632606359897,588.5640638213372,2.0,588.5806992608123,590.58265140187,,,,,Maddy,003,2023-12-14_10h01.20.460,Gen_Run3_Tone,2023.1.0,59.9463733386448,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maddy,003,2023-12-14_10h01.20.460,Gen_Run3_Tone,2023.1.0,59.9463733386448,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.58265140187,590.58265140187,a,1.097418469027616,Maddy,003,2023-12-14_10h01.20.460,Gen_Run3_Tone,2023.1.0,59.9463733386448,
