4.5903 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
223.7866 	DATA 	Keypress: t
225.3876 	DATA 	Keypress: lshift
225.3877 	DATA 	Keypress: t
226.9893 	DATA 	Keypress: lshift
226.9894 	DATA 	Keypress: t
228.5918 	DATA 	Keypress: lshift
228.5920 	DATA 	Keypress: t
230.1930 	DATA 	Keypress: lshift
230.1932 	DATA 	Keypress: t
231.7928 	DATA 	Keypress: lshift
231.7929 	DATA 	Keypress: t
233.3957 	DATA 	Keypress: lshift
233.3960 	DATA 	Keypress: t
234.9796 	DATA 	Keypress: lshift
234.9797 	DATA 	Keypress: t
236.5797 	DATA 	Keypress: lshift
236.5798 	DATA 	Keypress: t
238.1807 	DATA 	Keypress: lshift
238.1809 	DATA 	Keypress: t
239.7819 	DATA 	Keypress: lshift
239.7820 	DATA 	Keypress: t
241.3829 	DATA 	Keypress: lshift
241.3830 	DATA 	Keypress: t
242.9841 	DATA 	Keypress: lshift
242.9842 	DATA 	Keypress: t
244.5851 	DATA 	Keypress: lshift
244.5852 	DATA 	Keypress: t
246.1860 	DATA 	Keypress: lshift
246.1861 	DATA 	Keypress: t
247.7874 	DATA 	Keypress: lshift
247.7876 	DATA 	Keypress: t
249.3887 	DATA 	Keypress: lshift
249.3888 	DATA 	Keypress: t
250.9897 	DATA 	Keypress: lshift
250.9898 	DATA 	Keypress: t
252.5907 	DATA 	Keypress: lshift
252.5908 	DATA 	Keypress: t
254.1930 	DATA 	Keypress: lshift
254.1932 	DATA 	Keypress: t
255.7943 	DATA 	Keypress: lshift
255.7946 	DATA 	Keypress: t
257.3799 	DATA 	Keypress: lshift
257.3800 	DATA 	Keypress: t
258.9793 	DATA 	Keypress: lshift
258.9794 	DATA 	Keypress: t
260.5800 	DATA 	Keypress: lshift
260.5801 	DATA 	Keypress: t
262.1816 	DATA 	Keypress: lshift
262.1817 	DATA 	Keypress: t
263.7831 	DATA 	Keypress: lshift
263.7832 	DATA 	Keypress: t
265.3836 	DATA 	Keypress: lshift
265.3837 	DATA 	Keypress: t
266.9846 	DATA 	Keypress: lshift
266.9847 	DATA 	Keypress: t
268.5851 	DATA 	Keypress: lshift
268.5852 	DATA 	Keypress: t
270.1864 	DATA 	Keypress: lshift
270.1866 	DATA 	Keypress: t
271.7880 	DATA 	Keypress: lshift
271.7881 	DATA 	Keypress: t
273.3919 	DATA 	Keypress: lshift
273.3921 	DATA 	Keypress: t
274.9909 	DATA 	Keypress: lshift
274.9910 	DATA 	Keypress: t
276.5913 	DATA 	Keypress: lshift
276.5914 	DATA 	Keypress: t
278.1946 	DATA 	Keypress: lshift
278.1948 	DATA 	Keypress: t
279.7798 	DATA 	Keypress: lshift
279.7799 	DATA 	Keypress: t
281.3794 	DATA 	Keypress: lshift
281.3795 	DATA 	Keypress: t
282.9795 	DATA 	Keypress: lshift
282.9796 	DATA 	Keypress: t
284.5806 	DATA 	Keypress: lshift
284.5807 	DATA 	Keypress: t
285.2305 	DATA 	Keypress: c
