3.5463 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
144.4841 	DATA 	Keypress: lshift
144.4843 	DATA 	Keypress: t
145.3524 	DATA 	Keypress: c
146.0853 	DATA 	Keypress: lshift
146.0854 	DATA 	Keypress: t
147.6869 	DATA 	Keypress: lshift
147.6870 	DATA 	Keypress: t
148.3877 	DATA 	Keypress: c
149.2882 	DATA 	Keypress: lshift
149.2883 	DATA 	Keypress: t
150.8903 	DATA 	Keypress: lshift
150.8905 	DATA 	Keypress: t
151.2922 	DATA 	Keypress: c
152.4912 	DATA 	Keypress: lshift
152.4914 	DATA 	Keypress: t
154.0921 	DATA 	Keypress: lshift
154.0923 	DATA 	Keypress: t
154.8925 	DATA 	Keypress: lshift
154.8926 	DATA 	Keypress: a
155.6926 	DATA 	Keypress: lshift
155.6927 	DATA 	Keypress: t
156.0259 	DATA 	Keypress: lshift
156.0260 	DATA 	Keypress: a
157.2938 	DATA 	Keypress: lshift
157.2939 	DATA 	Keypress: t
158.8964 	DATA 	Keypress: lshift
158.8966 	DATA 	Keypress: t
159.9317 	DATA 	Keypress: c
160.4810 	DATA 	Keypress: lshift
160.4811 	DATA 	Keypress: t
162.0804 	DATA 	Keypress: lshift
162.0805 	DATA 	Keypress: t
162.5003 	DATA 	Keypress: c
163.6822 	DATA 	Keypress: lshift
163.6823 	DATA 	Keypress: t
165.2831 	DATA 	Keypress: lshift
165.2832 	DATA 	Keypress: t
166.1338 	DATA 	Keypress: lshift
166.1339 	DATA 	Keypress: a
166.8838 	DATA 	Keypress: lshift
166.8839 	DATA 	Keypress: t
167.5013 	DATA 	Keypress: lshift
167.5014 	DATA 	Keypress: a
168.4847 	DATA 	Keypress: lshift
168.4848 	DATA 	Keypress: t
170.0862 	DATA 	Keypress: lshift
170.0863 	DATA 	Keypress: t
171.3706 	DATA 	Keypress: lshift
171.3707 	DATA 	Keypress: a
171.6874 	DATA 	Keypress: lshift
171.6876 	DATA 	Keypress: t
172.2713 	DATA 	Keypress: lshift
172.2714 	DATA 	Keypress: a
173.2882 	DATA 	Keypress: lshift
173.2884 	DATA 	Keypress: t
174.8920 	DATA 	Keypress: lshift
174.8922 	DATA 	Keypress: t
176.4903 	DATA 	Keypress: lshift
176.4904 	DATA 	Keypress: t
176.8584 	DATA 	Keypress: lshift
176.8585 	DATA 	Keypress: a
177.9783 	DATA 	Keypress: lshift
177.9785 	DATA 	Keypress: a
178.0940 	DATA 	Keypress: lshift
