RunNumL,SetNumL,BattleNumL,FirstStimL,SecondStimL,ConfidenceL,OutcomeL,OutcomeNumL,ToneL,RunNumA,SetNumA,BattleNumA,FirstStimA,SecondStimA,ConfidenceA,OutcomeA,OutcomeNumA,ToneA,RunNumH,SetNumH,BattleNumH,FirstStimH,SecondStimH,ConfidenceH,OutcomeH,OutcomeNumH,ToneH,FullLoop.thisRepN,FullLoop.thisTrialN,FullLoop.thisN,FullLoop.thisIndex,loopL.thisRepN,loopL.thisTrialN,loopL.thisN,loopL.thisIndex,loop1.thisRepN,loop1.thisTrialN,loop1.thisN,loop1.thisIndex,loopA.thisRepN,loopA.thisTrialN,loopA.thisN,loopA.thisIndex,loop2.thisRepN,loop2.thisTrialN,loop2.thisN,loop2.thisIndex,loopH.thisRepN,loopH.thisTrialN,loopH.thisN,loopH.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trigger_image.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,wait.started,firststim_img_loop1.started,isi_conf_stim1_loop1.started,conf_img_stim1_loop1.started,conf_resp_stim1_loop1.started,conf_resp_stim1_loop1.keys,conf_resp_stim1_loop1.rt,isi_stim_1,isi_stim_loop1.started,isi_stim_loop1.stopped,secondstim_img_loop1.started,isi_conf_stim2_loop1.started,conf_img_stim2_loop1.started,conf_resp_stim2_loop1.started,conf_resp_stim2_loop1.keys,conf_resp_stim2_loop1.rt,isi_outcome.started,outcome_img_loop1.started,Tone_loop1.started,Tone_loop1.stopped,jitter_iti_1,iti_loop1.started,iti_loop1.stopped,firststim_img_loop2.started,isi_conf_stim1_loop2.started,conf_img_stim1_loop2.started,conf_resp_stim1_loop2.started,conf_resp_stim1_loop2.keys,conf_resp_stim1_loop2.rt,isi_stim_2,isi_stim_loop2.started,isi_stim_loop2.stopped,secondstim_img_loop2.started,isi_conf_loop2.started,conf_img_stim2_loop2.started,conf_resp_stim2_loop2.started,conf_resp_stim2_loop2.keys,conf_resp_stim2_loop2.rt,outcome_image_loop2.started,Tone_loop2.started,Tone_loop2.stopped,jitter_iti_2,iti_loop2.started,iti_loop2.stopped,firststim_img_loop3.started,isi_conf_stim1_loop3.started,conf_img_stim1_loop3.started,conf_resp_stim1_loop3.started,conf_resp_stim1_loop3.keys,conf_resp_stim1_loop3.rt,isi_stim_3,isi_stim_loop3.started,isi_stim_loop3.stopped,secondstim_img_loop3.started,isi_conf_stim2_loop3.started,conf_img_stim2_loop3.started,conf_resp_stim2_loop3.started,conf_resp_stim2_loop3.keys,conf_resp_stim2_loop3.rt,outcome_img_loop3.started,Tone_loop3.started,Tone_loop3.stopped,jitter_iti_3,iti_loop3.started,iti_loop3.stopped,completion_prompt.started,completion_prompt_resp.started,completion_prompt_resp.keys,completion_prompt_resp.rt,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,1,1,62,img/Agent_AS.png,img/AW.png,img/confidence.png,img/won.png,1,img/Silent.wav,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,20,20,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.3698318962706,,,,,,,425.4502593706129,426.44847903377376,426.7008044369286,426.7008044369286,['a'],[0.48897309065796435],2.0,427.21589548606426,429.21976535057183,429.21976535057183,430.22035671025515,430.4702236613957,430.4702236613957,['c'],[0.8765651190187782],431.67367243452463,431.8022525711916,433.10593217087444,1.0,433.1204203404486,434.12315783218946,,,,,,,,,,,,,,,,,,,,,,,,,,Maddy,001,2023-12-14_09h39.59.070,Gen_Run1_Tone,2023.1.0,59.960073546427516,
,,,,,,,,,1,1,50,img/Agent_AM.png,img/LM.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,21,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.15852478099987,,,,,,,434.12315783218946,435.12119089998305,435.3736627919134,435.3736627919134,['b'],[0.621221762150526],0.5,436.02218636963516,436.52468535490334,436.52468535490334,437.5230816580588,437.77686483808793,437.77686483808793,['a'],[0.35896043584216386],438.4355712366523,438.60717129553666,439.90805765229743,0.5,439.9249596160371,440.42753113457,,,,,,,,,,,,,,,,,,,,,,,,,,Maddy,001,2023-12-14_09h39.59.070,Gen_Run1_Tone,2023.1.0,59.960073546427516,
,,,,,,,,,1,1,55,img/Agent_AM.png,img/HS.png,img/confidence.png,img/won.png,1,img/Silent.wav,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,22,22,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.57810086233076,,,,,,,440.42753113457,441.42729419248644,441.6813751857262,441.6813751857262,['b'],[0.7185065423836932],0.5,442.4265830818331,442.92944018240087,442.92944018240087,443.9277153122239,444.1798492843518,444.1798492843518,['a'],[0.3723506503738463],444.8922934657894,445.01165163433177,446.3160301136086,1.0,446.33121403388213,447.335470742546,,,,,,,,,,,,,,,,,,,,,,,,,,Maddy,001,2023-12-14_09h39.59.070,Gen_Run1_Tone,2023.1.0,59.960073546427516,
,,,,,,,,,1,1,71,img/Agent_AW.png,img/AM.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,23,23,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.4839486669516,,,,,,,447.335470742546,448.3318699623924,448.58602235105354,448.58602235105354,['a'],[0.4588296767324209],1.0,449.064748336561,450.06807775690686,450.06807775690686,451.0661190735409,451.31869194319006,451.31869194319006,['c'],[1.146138939075172],452.75750698242337,452.91747099449856,454.21845121798106,0.5,454.2350462663453,454.7484024898149,,,,,,,,,,,,,,,,,,,,,,,,,,Maddy,001,2023-12-14_09h39.59.070,Gen_Run1_Tone,2023.1.0,59.960073546427516,
,,,,,,,,,,,,,,,,,,1,1,28,img/Agent_HM.png,img/HW.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,460.22286693099886,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.7484024898149,455.73614237236325,455.9889075263636,455.9889075263636,['c'],[1.8417471478460357],1.0,457.85446635843255,458.86004146630876,458.86004146630876,459.8560925263446,460.1089432981098,460.1089432981098,['c'],[0.09417694201692939],460.49656746862456,460.6568261650158,461.95731031766627,2.0,461.9739099170547,463.98191844590474,,,,,Maddy,001,2023-12-14_09h39.59.070,Gen_Run1_Tone,2023.1.0,59.960073546427516,
,,,,,,,,,,,,,,,,,,1,1,44,img/Agent_HW.png,img/HM.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,19,,,,,,,,,,,,,,,,,,,,,469.0956702744588,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.98191844590474,464.99279644864146,465.24498901620973,465.24498901620973,['c'],[0.4799328825902194],1.0,465.7448816385586,466.75083079072647,466.75083079072647,467.7615005801199,468.01375714782625,468.01375714782625,['b'],[1.0539960581809282],469.3650717212586,469.5293177575571,470.8316732691601,1.5,470.848189810873,472.3501036942471,,,,,Maddy,001,2023-12-14_09h39.59.070,Gen_Run1_Tone,2023.1.0,59.960073546427516,
,,,,,,,,,,,,,,,,,,1,1,45,img/Agent_HW.png,img/AS.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,20,,,,,,,,,,,,,,,,,,,,,477.4352495302446,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.3501036942471,473.3484283173457,473.60093775601126,473.60093775601126,['c'],[0.7989869231823832],1.0,474.4329398426926,475.4358576721279,475.4358576721279,476.4341652286239,476.6868075026432,476.6868075026432,['c'],[0.727149666287005],477.70616763387807,477.86870131557805,479.16973103233613,1.5,479.18637073843274,480.6898536165245,,,,,Maddy,001,2023-12-14_09h39.59.070,Gen_Run1_Tone,2023.1.0,59.960073546427516,
,,,,,,,,,,,,,,,,,,1,1,35,img/Agent_HS.png,img/LW.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,10,,,,,,,,,,,,,,,,,,,,,485.20764318853617,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.6898536165245,481.6880536531098,481.9404336694861,481.9404336694861,['b'],[1.1081991917453706],0.5,483.0727338253055,483.5749756729929,483.5749756729929,484.5735326871509,484.82592607242987,484.82592607242987,['a'],[0.3639379263622686],485.47638216463383,485.6407562008593,486.94336202333216,1.5,486.9597778718453,488.46223504375666,,,,,Maddy,001,2023-12-14_09h39.59.070,Gen_Run1_Tone,2023.1.0,59.960073546427516,
,,,,,,,,,,,,,,,,,,1,1,48,img/Agent_HW.png,img/AM.png,img/confidence.png,img/won.png,1,img/Silent.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,23,,,,,,,,,,,,,,,,,,,,,493.3144736344693,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.46223504375666,489.4601025650045,489.7124109014403,489.7124109014403,['c'],[0.4224575018743053],1.5,490.1607226819033,491.6641830888111,491.6641830888111,492.66381900024135,492.91855364642106,492.91855364642106,['b'],[0.37441230250988156],493.61770204862114,493.74658198955,495.0545817289967,1.0,495.0818815535167,496.0838723790366,,,,,Maddy,001,2023-12-14_09h39.59.070,Gen_Run1_Tone,2023.1.0,59.960073546427516,
,,,,,,,,,,,,,,,,,,1,1,27,img/Agent_HM.png,img/HS.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,501.3855744651519,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.0838723790366,497.08231732214335,497.33458043192513,497.33458043192513,['c'],[1.0992471612989902],1.0,498.4517751741223,499.470039910404,499.470039910404,500.468396960292,500.720602896763,500.720602896763,['c'],[0.6320323515683413],501.65994060237426,501.81912353050427,503.1199953806354,2.0,503.13685268664267,505.14088383095805,,,,,Maddy,001,2023-12-14_09h39.59.070,Gen_Run1_Tone,2023.1.0,59.960073546427516,
