3.5894 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
14.5917 	WARNING 	Monitor specification not found. Creating a temporary one...
14.5963 	WARNING 	User requested fullscreen with size [1512  982], but screen is actually [1920, 1080]. Using actual size
40.6269 	DATA 	Keypress: lshift
40.6271 	DATA 	Keypress: t
42.2265 	DATA 	Keypress: lshift
42.2266 	DATA 	Keypress: t
43.8272 	DATA 	Keypress: lshift
43.8273 	DATA 	Keypress: t
45.4291 	DATA 	Keypress: lshift
45.4292 	DATA 	Keypress: t
47.0286 	DATA 	Keypress: lshift
47.0287 	DATA 	Keypress: t
47.9978 	DATA 	Keypress: b
48.6306 	DATA 	Keypress: lshift
48.6307 	DATA 	Keypress: t
50.2316 	DATA 	Keypress: lshift
50.2317 	DATA 	Keypress: t
50.5825 	DATA 	Keypress: a
51.8325 	DATA 	Keypress: lshift
51.8326 	DATA 	Keypress: t
53.4339 	DATA 	Keypress: lshift
53.4340 	DATA 	Keypress: t
55.0349 	DATA 	Keypress: lshift
55.0350 	DATA 	Keypress: t
55.5358 	DATA 	Keypress: b
56.6358 	DATA 	Keypress: lshift
56.6359 	DATA 	Keypress: t
58.0541 	DATA 	Keypress: lshift
58.0542 	DATA 	Keypress: c
58.2242 	DATA 	Keypress: lshift
58.2243 	DATA 	Keypress: t
59.8388 	DATA 	Keypress: lshift
59.8389 	DATA 	Keypress: t
61.4232 	DATA 	Keypress: lshift
61.4234 	DATA 	Keypress: t
63.0245 	DATA 	Keypress: lshift
63.0246 	DATA 	Keypress: t
63.8265 	DATA 	Keypress: c
64.6254 	DATA 	Keypress: lshift
64.6255 	DATA 	Keypress: t
66.2259 	DATA 	Keypress: lshift
66.2260 	DATA 	Keypress: t
66.4264 	DATA 	Keypress: a
67.8280 	DATA 	Keypress: lshift
67.8281 	DATA 	Keypress: t
69.4285 	DATA 	Keypress: lshift
69.4286 	DATA 	Keypress: t
71.0296 	DATA 	Keypress: lshift
71.0297 	DATA 	Keypress: t
71.3133 	DATA 	Keypress: a
72.2478 	DATA 	Keypress: a
72.6310 	DATA 	Keypress: lshift
72.6311 	DATA 	Keypress: t
74.2325 	DATA 	Keypress: lshift
74.2326 	DATA 	Keypress: t
75.8327 	DATA 	Keypress: lshift
75.8329 	DATA 	Keypress: t
75.8667 	DATA 	Keypress: a
77.4338 	DATA 	Keypress: lshift
77.4340 	DATA 	Keypress: t
79.0352 	DATA 	Keypress: lshift
79.0353 	DATA 	Keypress: t
80.3034 	DATA 	Keypress: a
80.6368 	DATA 	Keypress: lshift
80.6369 	DATA 	Keypress: t
82.2374 	DATA 	Keypress: lshift
82.2375 	DATA 	Keypress: t
82.6718 	DATA 	Keypress: a
83.8237 	DATA 	Keypress: lshift
83.8238 	DATA 	Keypress: t
85.4239 	DATA 	Keypress: lshift
85.4240 	DATA 	Keypress: t
85.8421 	DATA 	Keypress: a
86.9593 	DATA 	Keypress: a
87.0256 	DATA 	Keypress: lshift
87.0257 	DATA 	Keypress: t
88.6269 	DATA 	Keypress: lshift
88.6270 	DATA 	Keypress: t
89.2266 	DATA 	Keypress: a
90.2266 	DATA 	Keypress: lshift
90.2267 	DATA 	Keypress: t
91.8280 	DATA 	Keypress: lshift
91.8281 	DATA 	Keypress: t
93.4286 	DATA 	Keypress: lshift
93.4288 	DATA 	Keypress: t
93.6628 	DATA 	Keypress: a
95.0300 	DATA 	Keypress: lshift
95.0301 	DATA 	Keypress: t
96.1479 	DATA 	Keypress: a
96.6311 	DATA 	Keypress: lshift
96.6312 	DATA 	Keypress: t
98.2327 	DATA 	Keypress: lshift
98.2328 	DATA 	Keypress: t
99.8007 	DATA 	Keypress: a
99.8353 	DATA 	Keypress: lshift
99.8355 	DATA 	Keypress: t
101.4348 	DATA 	Keypress: lshift
101.4349 	DATA 	Keypress: t
102.7361 	DATA 	Keypress: a
103.0371 	DATA 	Keypress: lshift
103.0373 	DATA 	Keypress: t
104.6376 	DATA 	Keypress: lshift
104.6377 	DATA 	Keypress: t
106.2399 	DATA 	Keypress: lshift
106.2401 	DATA 	Keypress: t
107.1229 	DATA 	Keypress: c
107.8238 	DATA 	Keypress: lshift
107.8239 	DATA 	Keypress: t
109.2741 	DATA 	Keypress: b
109.4240 	DATA 	Keypress: lshift
109.4241 	DATA 	Keypress: t
111.0264 	DATA 	Keypress: lshift
111.0265 	DATA 	Keypress: t
112.6264 	DATA 	Keypress: lshift
112.6265 	DATA 	Keypress: t
113.1601 	DATA 	Keypress: b
114.2272 	DATA 	Keypress: lshift
114.2273 	DATA 	Keypress: t
115.2451 	DATA 	Keypress: a
115.8280 	DATA 	Keypress: lshift
115.8281 	DATA 	Keypress: t
117.4296 	DATA 	Keypress: lshift
117.4297 	DATA 	Keypress: t
119.0310 	DATA 	Keypress: lshift
119.0311 	DATA 	Keypress: t
119.6819 	DATA 	Keypress: b
120.6318 	DATA 	Keypress: lshift
120.6319 	DATA 	Keypress: t
122.2330 	DATA 	Keypress: lshift
122.2331 	DATA 	Keypress: t
122.8680 	DATA 	Keypress: a
123.8337 	DATA 	Keypress: lshift
123.8338 	DATA 	Keypress: t
125.4356 	DATA 	Keypress: lshift
125.4357 	DATA 	Keypress: t
127.0363 	DATA 	Keypress: lshift
127.0364 	DATA 	Keypress: t
127.1700 	DATA 	Keypress: b
128.6241 	DATA 	Keypress: lshift
128.6242 	DATA 	Keypress: t
129.8558 	DATA 	Keypress: b
130.2388 	DATA 	Keypress: lshift
130.2389 	DATA 	Keypress: t
131.8236 	DATA 	Keypress: lshift
131.8237 	DATA 	Keypress: t
133.4256 	DATA 	Keypress: lshift
133.4257 	DATA 	Keypress: t
134.1931 	DATA 	Keypress: a
135.0267 	DATA 	Keypress: lshift
135.0268 	DATA 	Keypress: t
136.6114 	DATA 	Keypress: a
136.6268 	DATA 	Keypress: lshift
136.6269 	DATA 	Keypress: t
138.2278 	DATA 	Keypress: lshift
138.2279 	DATA 	Keypress: t
139.8291 	DATA 	Keypress: lshift
139.8292 	DATA 	Keypress: t
141.4302 	DATA 	Keypress: lshift
141.4303 	DATA 	Keypress: t
142.1310 	DATA 	Keypress: a
143.0310 	DATA 	Keypress: lshift
143.0311 	DATA 	Keypress: t
144.2828 	DATA 	Keypress: a
144.6321 	DATA 	Keypress: lshift
144.6322 	DATA 	Keypress: t
146.2338 	DATA 	Keypress: lshift
146.2339 	DATA 	Keypress: t
147.8343 	DATA 	Keypress: lshift
147.8344 	DATA 	Keypress: t
149.4033 	DATA 	Keypress: a
149.4362 	DATA 	Keypress: lshift
149.4363 	DATA 	Keypress: t
151.0368 	DATA 	Keypress: lshift
151.0369 	DATA 	Keypress: t
152.1055 	DATA 	Keypress: a
152.6400 	DATA 	Keypress: lshift
152.6402 	DATA 	Keypress: t
154.2243 	DATA 	Keypress: lshift
154.2244 	DATA 	Keypress: t
155.8251 	DATA 	Keypress: lshift
155.8252 	DATA 	Keypress: t
156.4753 	DATA 	Keypress: b
157.1591 	DATA 	Keypress: b
157.4258 	DATA 	Keypress: lshift
