RunNum,SetNum,BattleNum,FirstStim,SecondStim,Outcome,OutcomeNum,Tone,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,trigger.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,wait.started,firststim_image.started,firststim_resp.started,firststim_resp.keys,firststim_resp.rt,isi_stim,isi_stim.started,isi_stim.stopped,secondstim_image.started,secondstim_resp.started,secondstim_resp.keys,secondstim_resp.rt,isi_outcome,isi_outcome.started,isi_outcome.stopped,outcome_image.started,tone.started,tone.stopped,jitter_iti,iti.started,iti.stopped,completion_prompt.started,completion_prompt_resp.started,completion_prompt_resp.keys,completion_prompt_resp.rt,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,11.370405051507987,11.370405051507987,t,32.53999357728753,,,,,,,,,,,,,,,,,,,,,,,,,,Maddy,003,2023-12-14_09h24.06.629,Safety_Run3_Tone,2023.1.0,59.97756577578685,
3,2,26,img/goose.png,img/stick.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,0,0,12,,,,,43.940836727037095,48.964542597997934,48.964542597997934,c,1.4183575219940394,1.0,50.4115911613917,51.41321846714709,51.41321846714709,51.41321846714709,c,0.6108955814270303,0.25,52.04474593012128,52.29636960919015,52.29636960919015,52.478411446965765,53.78054298704956,2.0,53.79775812395383,55.799539598519914,,,,,Maddy,003,2023-12-14_09h24.06.629,Safety_Run3_Tone,2023.1.0,59.97756577578685,
3,6,22,img/stick.png,img/cat.png,img/won.png,1,img/Silent.wav,0,1,1,35,,,,,,55.799539598519914,55.799539598519914,c,1.0264413715340197,2.0,56.84824641526211,58.85114348027855,58.85114348027855,58.85114348027855,a,0.5897283755475655,0.25,59.466705938917585,59.76329912128858,59.76329912128858,59.90055264678085,61.21093449334148,2.0,61.235509341582656,63.23882624635007,,,,,Maddy,003,2023-12-14_09h24.06.629,Safety_Run3_Tone,2023.1.0,59.97756577578685,
3,5,21,img/fist.png,img/cat.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,2,2,4,,,,,,63.23882624635007,63.23882624635007,c,1.5433175931684673,0.5,64.80548363062553,65.30640480353031,65.30640480353031,65.30640480353031,a,0.8189250451978296,0.25,66.15656581311487,66.42527236253954,66.42527236253954,66.60519537486834,67.90719066618476,2.0,67.92310418596026,69.92630020191427,,,,,Maddy,003,2023-12-14_09h24.06.629,Safety_Run3_Tone,2023.1.0,59.97756577578685,
3,7,15,img/gun.png,img/grizzly.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,3,3,24,,,,,,69.92630020191427,69.92630020191427,a,0.699041735730134,1.0,70.65963027358521,71.66092108178418,71.66092108178418,71.66092108178418,a,0.3741816182155162,0.25,72.05907509534154,72.31131203623954,72.31131203623954,72.4927784432075,73.79364420624916,2.0,73.81032743235119,75.8137598214671,,,,,Maddy,003,2023-12-14_09h24.06.629,Safety_Run3_Tone,2023.1.0,59.97756577578685,
3,4,9,img/grizzly.png,img/fist.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,4,4,18,,,,,,75.8137598214671,75.8137598214671,c,1.2751605901867151,1.0,77.11357433535159,78.11435115267523,78.11435115267523,78.11435115267523,c,0.6297357483999804,0.25,78.76516934251413,79.01571782212704,79.01571782212704,79.1975065045408,80.499233564944,2.0,80.51610167976469,82.51850068278145,,,,,Maddy,003,2023-12-14_09h24.06.629,Safety_Run3_Tone,2023.1.0,59.97756577578685,
3,3,34,img/lion.png,img/stick.png,img/won.png,1,img/Silent.wav,0,5,5,34,,,,,,82.51850068278145,82.51850068278145,c,2.0264823315665126,1.5,84.56919007620309,86.0710314263124,86.0710314263124,86.0710314263124,a,2.111174763413146,0.25,88.20405805285554,88.49733177036978,88.49733177036978,88.63795368507272,89.941383144469,1.0,89.957105233334,90.97475955216214,,,,,Maddy,003,2023-12-14_09h24.06.629,Safety_Run3_Tone,2023.1.0,59.97756577578685,
3,4,10,img/grizzly.png,img/stick.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,6,6,21,,,,,,90.97475955216214,90.97475955216214,c,1.6416821238817647,1.5,92.64056596450973,94.14385086926632,94.14385086926632,94.14385086926632,c,0.6380949969170615,0.25,94.80892910424154,95.06225774239283,95.06225774239283,95.24240518122679,96.5439928638516,2.0,96.5608587032184,98.56273290654644,,,,,Maddy,003,2023-12-14_09h24.06.629,Safety_Run3_Tone,2023.1.0,59.97756577578685,
3,7,23,img/gun.png,img/cat.png,img/won.png,1,img/Silent.wav,0,7,7,22,,,,,,98.56273290654644,98.56273290654644,a,0.9136688846629113,0.5,99.49528690043371,99.99784448125865,99.99784448125865,99.99784448125865,a,0.4971252637915313,0.25,100.51281094388105,100.80727648292668,100.80727648292668,100.94734486908419,102.25071089738049,0.5,102.26548152009491,102.7665082217427,,,,,Maddy,003,2023-12-14_09h24.06.629,Safety_Run3_Tone,2023.1.0,59.97756577578685,
3,3,2,img/lion.png,img/stick.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,8,8,33,,,,,,102.7665082217427,102.7665082217427,c,0.9045592719921842,1.5,103.69870808254927,105.20034150383435,105.20034150383435,105.20034150383435,c,0.4619619771838188,0.25,105.6831791313598,105.9369651558809,105.9369651558809,106.11697947484208,107.41870994842611,2.0,107.43518353905529,109.43803281744476,,,,,Maddy,003,2023-12-14_09h24.06.629,Safety_Run3_Tone,2023.1.0,59.97756577578685,
