"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","view_history","response"
"3602.1000003814697","{""Q0"":""WA_019""}","survey-text","0","3616","0.0-0.0-0.0","","","",""
"3910.5","","html-keyboard-response","1","7529","0.0-1.0","<p style=""font-size:30px;"">Welcome to the experiment!</p><p style=""font-size:30px;""> You will read instructions for the game</p><p style=""font-size:30px;""> while we take a scan.</p><br><p style=""font-size:30px;"">Press ""3"" with your middle finger to read the instructions.</p></br>","3","",""
"93516.69999980927","","instructions","2","101048","0.0-2.0","","","[{""page_index"":0,""viewing_time"":2568.4000000953674},{""page_index"":1,""viewing_time"":9121},{""page_index"":2,""viewing_time"":5469.799999713898},{""page_index"":3,""viewing_time"":9630},{""page_index"":4,""viewing_time"":7256},{""page_index"":5,""viewing_time"":4998.700000286102},{""page_index"":6,""viewing_time"":3559},{""page_index"":7,""viewing_time"":2365},{""page_index"":8,""viewing_time"":5305},{""page_index"":9,""viewing_time"":2046.7999997138977},{""page_index"":10,""viewing_time"":2372.1000003814697},{""page_index"":11,""viewing_time"":1931},{""page_index"":12,""viewing_time"":5845},{""page_index"":13,""viewing_time"":5103.89999961853},{""page_index"":14,""viewing_time"":2123},{""page_index"":15,""viewing_time"":4932.800000190735},{""page_index"":16,""viewing_time"":2281},{""page_index"":17,""viewing_time"":2795.800000190735},{""page_index"":18,""viewing_time"":5554.199999809265},{""page_index"":19,""viewing_time"":3300.9000000953674},{""page_index"":20,""viewing_time"":3732.199999809265},{""page_index"":21,""viewing_time"":1224.8000001907349}]",""
"3052.6000003814697","","image-keyboard-response","3","104105","0.0-3.0-0.0","img/fist.png","","","2"
"null","","html-keyboard-response","4","105607","0.0-3.0-1.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1280.6000003814697","","image-keyboard-response","5","106890","0.0-3.0-2.0","img/grizzly.png","","","2"
"null","","html-keyboard-response","6","108391","0.0-3.0-3.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","7","109393","0.0-3.0-4.0","img/lost.png","","","null"
"null","","html-keyboard-response","8","110894","0.0-3.0-5.0","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1596.5","","image-keyboard-response","9","112492","0.0-3.0-0.1","img/cat.png","","","1"
"null","","html-keyboard-response","10","113993","0.0-3.0-1.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"931.4000000953674","","image-keyboard-response","11","114927","0.0-3.0-2.1","img/fist.png","","","1"
"null","","html-keyboard-response","12","116428","0.0-3.0-3.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","13","117430","0.0-3.0-4.1","img/lost.png","","","null"
"null","","html-keyboard-response","14","118931","0.0-3.0-5.1","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1445.9000000953674","","image-keyboard-response","15","120379","0.0-3.0-0.2","img/rock.png","","","2"
"null","","html-keyboard-response","16","121880","0.0-3.0-1.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"482.8999996185303","","image-keyboard-response","17","122365","0.0-3.0-2.2","img/cat.png","","","1"
"null","","html-keyboard-response","18","123866","0.0-3.0-3.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","19","124868","0.0-3.0-4.2","img/won.png","","","null"
"null","","html-keyboard-response","20","126369","0.0-3.0-5.2","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"956.5","","image-keyboard-response","21","127327","0.0-3.0-0.3","img/bow.png","","","1"
"null","","html-keyboard-response","22","128828","0.0-3.0-1.3","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"678.4000000953674","","image-keyboard-response","23","129508","0.0-3.0-2.3","img/crow.png","","","1"
"null","","html-keyboard-response","24","131009","0.0-3.0-3.3","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","25","132011","0.0-3.0-4.3","img/won.png","","","null"
"null","","html-keyboard-response","26","133512","0.0-3.0-5.3","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"981.5999999046326","","image-keyboard-response","27","134496","0.0-3.0-0.4","img/gun.png","","","1"
"null","","html-keyboard-response","28","135997","0.0-3.0-1.4","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"806.2999997138977","","image-keyboard-response","29","136804","0.0-3.0-2.4","img/goose.png","","","1"
"null","","html-keyboard-response","30","138305","0.0-3.0-3.4","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","31","139306","0.0-3.0-4.4","img/won.png","","","null"
"null","","html-keyboard-response","32","140807","0.0-3.0-5.4","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"764.6999998092651","","image-keyboard-response","33","141573","0.0-3.0-0.5","img/crow.png","","","1"
"null","","html-keyboard-response","34","143074","0.0-3.0-1.5","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"643.8000001907349","","image-keyboard-response","35","143720","0.0-3.0-2.5","img/gun.png","","","1"
"null","","html-keyboard-response","36","145221","0.0-3.0-3.5","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","37","146223","0.0-3.0-4.5","img/won.png","","","null"
"null","","html-keyboard-response","38","147724","0.0-3.0-5.5","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1421.6000003814697","","image-keyboard-response","39","149147","0.0-3.0-0.6","img/stick.png","","","2"
"null","","html-keyboard-response","40","150648","0.0-3.0-1.6","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"728.1000003814697","","image-keyboard-response","41","151378","0.0-3.0-2.6","img/grizzly.png","","","2"
"null","","html-keyboard-response","42","152879","0.0-3.0-3.6","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","43","153881","0.0-3.0-4.6","img/lost.png","","","null"
"null","","html-keyboard-response","44","155383","0.0-3.0-5.6","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1170.7000002861023","","image-keyboard-response","45","156555","0.0-3.0-0.7","img/lion.png","","","2"
"null","","html-keyboard-response","46","158056","0.0-3.0-1.7","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1287","","image-keyboard-response","47","159344","0.0-3.0-2.7","img/grenade.png","","","1"
"null","","html-keyboard-response","48","160845","0.0-3.0-3.7","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","49","161847","0.0-3.0-4.7","img/won.png","","","null"
"null","","html-keyboard-response","50","163348","0.0-3.0-5.7","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"11654.89999961853","","html-keyboard-response","51","175004","0.0-4.0","<div><p style=""font-size:30px;"">You finished the instructions.</p><p style=""font-size:30px;"">The scan make take a few minutes longer.  </p><p style=""font-size:30px;"">Please relax and hold still until it is finished. </p><p style=""font-size:30px;"">We will tell you when the main game is ready to begin.</p><br><p style=""font-size:30px;""><b>Please press 3 to end.</b> </p></br></div>","3","",""
