"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","view_history","response"
"26885.29999998212","{""Q0"":""WA_026""}","survey-text","0","26900","0.0-0.0-0.0","","","",""
"7725.199999988079","","html-keyboard-response","1","34627","0.0-1.0","<p style=""font-size:30px;"">Welcome to the experiment!</p><p style=""font-size:30px;""> You will read instructions for the game</p><p style=""font-size:30px;""> while we take a scan.</p><br><p style=""font-size:30px;"">Press ""3"" with your middle finger to read the instructions.</p></br>","3","",""
"119672.90000000596","","instructions","2","154304","0.0-2.0","","","[{""page_index"":0,""viewing_time"":4662.4000000059605},{""page_index"":1,""viewing_time"":3619.699999988079},{""page_index"":2,""viewing_time"":6500.100000023842},{""page_index"":3,""viewing_time"":5674.799999982119},{""page_index"":4,""viewing_time"":11404.90000000596},{""page_index"":5,""viewing_time"":6340.9000000059605},{""page_index"":6,""viewing_time"":7239.9000000059605},{""page_index"":7,""viewing_time"":4005.7999999821186},{""page_index"":8,""viewing_time"":4377},{""page_index"":9,""viewing_time"":3422.0999999940395},{""page_index"":10,""viewing_time"":3423.9000000059605},{""page_index"":11,""viewing_time"":4922.800000011921},{""page_index"":12,""viewing_time"":5151.799999982119},{""page_index"":13,""viewing_time"":10656.100000023842},{""page_index"":14,""viewing_time"":4619.799999982119},{""page_index"":15,""viewing_time"":4943.9000000059605},{""page_index"":16,""viewing_time"":4907},{""page_index"":17,""viewing_time"":2441.699999988079},{""page_index"":18,""viewing_time"":6293.100000023842},{""page_index"":19,""viewing_time"":5786.899999976158},{""page_index"":20,""viewing_time"":5714},{""page_index"":21,""viewing_time"":3563.9000000059605}]",""
"4105.4000000059605","","image-keyboard-response","3","158414","0.0-3.0-0.0","img/gun.png","","","2"
"null","","html-keyboard-response","4","159915","0.0-3.0-1.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","5","165917","0.0-3.0-2.0","img/goose.png","","","null"
"null","","html-keyboard-response","6","167418","0.0-3.0-3.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","7","168421","0.0-3.0-4.0","img/won.png","","","null"
"null","","html-keyboard-response","8","169922","0.0-3.0-5.0","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","9","175925","0.0-3.0-0.1","img/lion.png","","","null"
"null","","html-keyboard-response","10","177426","0.0-3.0-1.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2281.4000000059605","","image-keyboard-response","11","179709","0.0-3.0-2.1","img/grenade.png","","","2"
"null","","html-keyboard-response","12","181210","0.0-3.0-3.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","13","182212","0.0-3.0-4.1","img/won.png","","","null"
"null","","html-keyboard-response","14","183713","0.0-3.0-5.1","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"2126.9000000059605","","image-keyboard-response","15","185842","0.0-3.0-0.2","img/crow.png","","","2"
"null","","html-keyboard-response","16","187343","0.0-3.0-1.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2263.4000000059605","","image-keyboard-response","17","189608","0.0-3.0-2.2","img/gun.png","","","2"
"null","","html-keyboard-response","18","191111","0.0-3.0-3.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","19","192113","0.0-3.0-4.2","img/won.png","","","null"
"null","","html-keyboard-response","20","193614","0.0-3.0-5.2","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","21","199616","0.0-3.0-0.3","img/rock.png","","","null"
"null","","html-keyboard-response","22","201117","0.0-3.0-1.3","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2633.300000011921","","image-keyboard-response","23","203752","0.0-3.0-2.3","img/cat.png","","","2"
"null","","html-keyboard-response","24","205253","0.0-3.0-3.3","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","25","206255","0.0-3.0-4.3","img/won.png","","","null"
"null","","html-keyboard-response","26","207756","0.0-3.0-5.3","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","27","213759","0.0-3.0-0.4","img/stick.png","","","null"
"null","","html-keyboard-response","28","215260","0.0-3.0-1.4","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","29","221262","0.0-3.0-2.4","img/grizzly.png","","","null"
"null","","html-keyboard-response","30","222763","0.0-3.0-3.4","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","31","223765","0.0-3.0-4.4","img/lost.png","","","null"
"null","","html-keyboard-response","32","225266","0.0-3.0-5.4","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","33","231267","0.0-3.0-0.5","img/fist.png","","","null"
"null","","html-keyboard-response","34","232768","0.0-3.0-1.5","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","35","238771","0.0-3.0-2.5","img/grizzly.png","","","null"
"null","","html-keyboard-response","36","240272","0.0-3.0-3.5","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","37","241274","0.0-3.0-4.5","img/lost.png","","","null"
"null","","html-keyboard-response","38","242775","0.0-3.0-5.5","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"4211.5999999940395","","image-keyboard-response","39","246988","0.0-3.0-0.6","img/bow.png","","","2"
"null","","html-keyboard-response","40","248490","0.0-3.0-1.6","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2383.300000011921","","image-keyboard-response","41","250875","0.0-3.0-2.6","img/crow.png","","","2"
"null","","html-keyboard-response","42","252377","0.0-3.0-3.6","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","43","253379","0.0-3.0-4.6","img/won.png","","","null"
"null","","html-keyboard-response","44","254880","0.0-3.0-5.6","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"2286.9000000059605","","image-keyboard-response","45","257169","0.0-3.0-0.7","img/cat.png","","","2"
"null","","html-keyboard-response","46","258670","0.0-3.0-1.7","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1846.5","","image-keyboard-response","47","260518","0.0-3.0-2.7","img/fist.png","","","2"
"null","","html-keyboard-response","48","262019","0.0-3.0-3.7","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","49","263021","0.0-3.0-4.7","img/lost.png","","","null"
"null","","html-keyboard-response","50","264523","0.0-3.0-5.7","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
