"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","view_history","response"
"12863.800000190735","{""Q0"":""WA_020""}","survey-text","0","12878","0.0-0.0-0.0","","","",""
"6096.300000190735","","html-keyboard-response","1","18976","0.0-1.0","<p style=""font-size:30px;"">Welcome to the experiment!</p><p style=""font-size:30px;""> You will read instructions for the game</p><p style=""font-size:30px;""> while we take a scan.</p><br><p style=""font-size:30px;"">Press ""3"" with your middle finger to read the instructions.</p></br>","3","",""
"89530.69999980927","","instructions","2","108508","0.0-2.0","","","[{""page_index"":0,""viewing_time"":2950.300000190735},{""page_index"":1,""viewing_time"":3009.8999996185303},{""page_index"":2,""viewing_time"":4071},{""page_index"":3,""viewing_time"":5399},{""page_index"":4,""viewing_time"":12178.900000095367},{""page_index"":5,""viewing_time"":6157.900000095367},{""page_index"":6,""viewing_time"":5649.800000190735},{""page_index"":7,""viewing_time"":3068},{""page_index"":8,""viewing_time"":3426.8999996185303},{""page_index"":9,""viewing_time"":2007.1000003814697},{""page_index"":10,""viewing_time"":1792},{""page_index"":11,""viewing_time"":2159},{""page_index"":12,""viewing_time"":4108.099999904633},{""page_index"":13,""viewing_time"":4201.799999713898},{""page_index"":14,""viewing_time"":2083.800000190735},{""page_index"":15,""viewing_time"":5179},{""page_index"":16,""viewing_time"":1841.3000001907349},{""page_index"":17,""viewing_time"":1328.5999999046326},{""page_index"":18,""viewing_time"":9851},{""page_index"":19,""viewing_time"":4099},{""page_index"":20,""viewing_time"":3567.9000000953674},{""page_index"":21,""viewing_time"":1399.8999996185303}]",""
"1784","","image-keyboard-response","3","110309","0.0-3.0-0.0","img/crow.png","","","1"
"null","","html-keyboard-response","4","111811","0.0-3.0-1.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1598.6999998092651","","image-keyboard-response","5","113411","0.0-3.0-2.0","img/gun.png","","","1"
"null","","html-keyboard-response","6","114912","0.0-3.0-3.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","7","115914","0.0-3.0-4.0","img/won.png","","","null"
"null","","html-keyboard-response","8","117415","0.0-3.0-5.0","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1616.9000000953674","","image-keyboard-response","9","119034","0.0-3.0-0.1","img/bow.png","","","1"
"null","","html-keyboard-response","10","120535","0.0-3.0-1.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1374.4000000953674","","image-keyboard-response","11","121913","0.0-3.0-2.1","img/crow.png","","","1"
"null","","html-keyboard-response","12","123414","0.0-3.0-3.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","13","124416","0.0-3.0-4.1","img/won.png","","","null"
"null","","html-keyboard-response","14","125917","0.0-3.0-5.1","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1444","","image-keyboard-response","15","127362","0.0-3.0-0.2","img/gun.png","","","1"
"null","","html-keyboard-response","16","128863","0.0-3.0-1.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1048.3000001907349","","image-keyboard-response","17","129913","0.0-3.0-2.2","img/goose.png","","","1"
"null","","html-keyboard-response","18","131414","0.0-3.0-3.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","19","132416","0.0-3.0-4.2","img/won.png","","","null"
"null","","html-keyboard-response","20","133918","0.0-3.0-5.2","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"3241","","image-keyboard-response","21","137160","0.0-3.0-0.3","img/fist.png","","","2"
"null","","html-keyboard-response","22","138661","0.0-3.0-1.3","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1020.8000001907349","","image-keyboard-response","23","139683","0.0-3.0-2.3","img/grizzly.png","","","2"
