"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","view_history","response"
"5319.0999999940395","{""Q0"":""WA_024""}","survey-text","0","5335","0.0-0.0-0.0","","","",""
"9384.59999999404","","html-keyboard-response","1","14722","0.0-1.0","<p style=""font-size:30px;"">Welcome to the experiment!</p><p style=""font-size:30px;""> You will read instructions for the game</p><p style=""font-size:30px;""> while we take a scan.</p><br><p style=""font-size:30px;"">Press ""3"" with your middle finger to read the instructions.</p></br>","3","",""
"179401.10000000894","","instructions","2","194125","0.0-2.0","","","[{""page_index"":0,""viewing_time"":3387.4000000059605},{""page_index"":1,""viewing_time"":3695.7000000029802},{""page_index"":2,""viewing_time"":83653.5},{""page_index"":3,""viewing_time"":16811.70000000298},{""page_index"":4,""viewing_time"":7168.0999999940395},{""page_index"":5,""viewing_time"":5210.79999999702},{""page_index"":6,""viewing_time"":3635.1000000089407},{""page_index"":7,""viewing_time"":4916},{""page_index"":8,""viewing_time"":2754},{""page_index"":9,""viewing_time"":2807.8999999910593},{""page_index"":10,""viewing_time"":4241},{""page_index"":11,""viewing_time"":2709.9000000059605},{""page_index"":12,""viewing_time"":4388.899999991059},{""page_index"":13,""viewing_time"":4675.100000008941},{""page_index"":14,""viewing_time"":2903.8999999910593},{""page_index"":15,""viewing_time"":3220},{""page_index"":16,""viewing_time"":3116},{""page_index"":17,""viewing_time"":2318.9000000059605},{""page_index"":18,""viewing_time"":5334},{""page_index"":19,""viewing_time"":7474.29999999702},{""page_index"":20,""viewing_time"":3247.7000000029802},{""page_index"":21,""viewing_time"":1730.9000000059605}]",""
"3145.9000000059605","","image-keyboard-response","3","197288","0.0-3.0-0.0","img/crow.png","","","1"
"null","","html-keyboard-response","4","198789","0.0-3.0-1.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1860","","image-keyboard-response","5","200651","0.0-3.0-2.0","img/gun.png","","","1"
"null","","html-keyboard-response","6","202152","0.0-3.0-3.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","7","203155","0.0-3.0-4.0","img/won.png","","","null"
"null","","html-keyboard-response","8","204656","0.0-3.0-5.0","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1472.5","","image-keyboard-response","9","206130","0.0-3.0-0.1","img/cat.png","","","1"
"null","","html-keyboard-response","10","207631","0.0-3.0-1.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1703.6000000089407","","image-keyboard-response","11","209336","0.0-3.0-2.1","img/fist.png","","","1"
"null","","html-keyboard-response","12","210838","0.0-3.0-3.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","13","211841","0.0-3.0-4.1","img/lost.png","","","null"
"null","","html-keyboard-response","14","213342","0.0-3.0-5.1","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"2428.2000000029802","","image-keyboard-response","15","215771","0.0-3.0-0.2","img/fist.png","","","1"
"null","","html-keyboard-response","16","217272","0.0-3.0-1.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2226.3999999910593","","image-keyboard-response","17","219500","0.0-3.0-2.2","img/grizzly.png","","","2"
"null","","html-keyboard-response","18","221001","0.0-3.0-3.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","19","222003","0.0-3.0-4.2","img/lost.png","","","null"
"null","","html-keyboard-response","20","223504","0.0-3.0-5.2","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"2019.5","","image-keyboard-response","21","225525","0.0-3.0-0.3","img/bow.png","","","1"
"null","","html-keyboard-response","22","227026","0.0-3.0-1.3","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1697.5","","image-keyboard-response","23","228726","0.0-3.0-2.3","img/crow.png","","","1"
"null","","html-keyboard-response","24","230228","0.0-3.0-3.3","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","25","231230","0.0-3.0-4.3","img/won.png","","","null"
"null","","html-keyboard-response","26","232731","0.0-3.0-5.3","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1973","","image-keyboard-response","27","234705","0.0-3.0-0.4","img/rock.png","","","1"
"null","","html-keyboard-response","28","236206","0.0-3.0-1.4","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2198","","image-keyboard-response","29","238406","0.0-3.0-2.4","img/cat.png","","","1"
"null","","html-keyboard-response","30","239907","0.0-3.0-3.4","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","31","240909","0.0-3.0-4.4","img/won.png","","","null"
"null","","html-keyboard-response","32","242410","0.0-3.0-5.4","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1960.0999999940395","","image-keyboard-response","33","244372","0.0-3.0-0.5","img/lion.png","","","2"
"null","","html-keyboard-response","34","245873","0.0-3.0-1.5","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1390.5","","image-keyboard-response","35","247265","0.0-3.0-2.5","img/grenade.png","","","1"
"null","","html-keyboard-response","36","248765","0.0-3.0-3.5","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","37","249769","0.0-3.0-4.5","img/won.png","","","null"
"null","","html-keyboard-response","38","251270","0.0-3.0-5.5","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1788.9000000059605","","image-keyboard-response","39","253061","0.0-3.0-0.6","img/gun.png","","","1"
"null","","html-keyboard-response","40","254562","0.0-3.0-1.6","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1981.5","","image-keyboard-response","41","256545","0.0-3.0-2.6","img/goose.png","","","1"
"null","","html-keyboard-response","42","258046","0.0-3.0-3.6","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","43","259047","0.0-3.0-4.6","img/won.png","","","null"
"null","","html-keyboard-response","44","260548","0.0-3.0-5.6","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1617.7999999970198","","image-keyboard-response","45","262168","0.0-3.0-0.7","img/stick.png","","","2"
"null","","html-keyboard-response","46","263669","0.0-3.0-1.7","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1682.4000000059605","","image-keyboard-response","47","265353","0.0-3.0-2.7","img/grizzly.png","","","2"
"null","","html-keyboard-response","48","266853","0.0-3.0-3.7","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","49","267856","0.0-3.0-4.7","img/lost.png","","","null"
"null","","html-keyboard-response","50","269357","0.0-3.0-5.7","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"12489.5","","html-keyboard-response","51","281847","0.0-4.0","<div><p style=""font-size:30px;"">You finished the instructions.</p><p style=""font-size:30px;"">The scan make take a few minutes longer.  </p><p style=""font-size:30px;"">Please relax and hold still until it is finished. </p><p style=""font-size:30px;"">We will tell you when the main game is ready to begin.</p><br><p style=""font-size:30px;""><b>Please press 3 to end.</b> </p></br></div>","3","",""
