"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","view_history","response"
"3046.6999999997206","{""Q0"":""WA_027""}","survey-text","0","3077","0.0-0.0-0.0","","","",""
"3862.5999999996275","","html-keyboard-response","1","6941","0.0-1.0","<p style=""font-size:30px;"">Welcome to the experiment!</p><p style=""font-size:30px;""> You will read instructions for the game</p><p style=""font-size:30px;""> while we take a scan.</p><br><p style=""font-size:30px;"">Press ""3"" with your middle finger to read the instructions.</p></br>","3","",""
"193028.09999999963","","instructions","2","199973","0.0-2.0","","","[{""page_index"":0,""viewing_time"":4299.0999999996275},{""page_index"":1,""viewing_time"":3446},{""page_index"":2,""viewing_time"":8906.100000000093},{""page_index"":3,""viewing_time"":5578.5},{""page_index"":4,""viewing_time"":13145.700000000186},{""page_index"":5,""viewing_time"":8488.799999999814},{""page_index"":6,""viewing_time"":6033.800000000279},{""page_index"":7,""viewing_time"":8509.099999999627},{""page_index"":8,""viewing_time"":14345.700000000186},{""page_index"":9,""viewing_time"":9059.299999999814},{""page_index"":10,""viewing_time"":13662.5},{""page_index"":11,""viewing_time"":3963.9000000003725},{""page_index"":12,""viewing_time"":16947.899999999907},{""page_index"":13,""viewing_time"":18488.69999999972},{""page_index"":14,""viewing_time"":2909.8000000002794},{""page_index"":15,""viewing_time"":13770},{""page_index"":16,""viewing_time"":5597.100000000093},{""page_index"":17,""viewing_time"":4599.799999999814},{""page_index"":18,""viewing_time"":9018.200000000186},{""page_index"":19,""viewing_time"":7128.899999999907},{""page_index"":20,""viewing_time"":11502.899999999907},{""page_index"":21,""viewing_time"":3625.899999999907}]",""
"null","","image-keyboard-response","3","205979","0.0-3.0-0.0","img/stick.png","","","null"
"null","","html-keyboard-response","4","207480","0.0-3.0-1.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"4364.200000000186","","image-keyboard-response","5","211846","0.0-3.0-2.0","img/grizzly.png","","","2"
"null","","html-keyboard-response","6","213347","0.0-3.0-3.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","7","214350","0.0-3.0-4.0","img/lost.png","","","null"
"null","","html-keyboard-response","8","215851","0.0-3.0-5.0","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"5210.399999999907","","image-keyboard-response","9","221063","0.0-3.0-0.1","img/lion.png","","","2"
"null","","html-keyboard-response","10","222564","0.0-3.0-1.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2438.399999999907","","image-keyboard-response","11","225004","0.0-3.0-2.1","img/grenade.png","","","1"
"null","","html-keyboard-response","12","226505","0.0-3.0-3.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","13","227507","0.0-3.0-4.1","img/won.png","","","null"
"null","","html-keyboard-response","14","229008","0.0-3.0-5.1","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"5807.899999999907","","image-keyboard-response","15","234818","0.0-3.0-0.2","img/crow.png","","","1"
"null","","html-keyboard-response","16","236320","0.0-3.0-1.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2530.7000000001863","","image-keyboard-response","17","238852","0.0-3.0-2.2","img/gun.png","","","1"
"null","","html-keyboard-response","18","240353","0.0-3.0-3.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","19","241355","0.0-3.0-4.2","img/won.png","","","null"
"null","","html-keyboard-response","20","242856","0.0-3.0-5.2","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"3222.100000000093","","image-keyboard-response","21","246080","0.0-3.0-0.3","img/bow.png","","","1"
"null","","html-keyboard-response","22","247581","0.0-3.0-1.3","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1808.9000000003725","","image-keyboard-response","23","249392","0.0-3.0-2.3","img/crow.png","","","1"
"null","","html-keyboard-response","24","250893","0.0-3.0-3.3","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","25","251895","0.0-3.0-4.3","img/won.png","","","null"
"null","","html-keyboard-response","26","253396","0.0-3.0-5.3","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"3794.7000000001863","","image-keyboard-response","27","257192","0.0-3.0-0.4","img/fist.png","","","2"
"null","","html-keyboard-response","28","258694","0.0-3.0-1.4","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2004.2000000001863","","image-keyboard-response","29","260700","0.0-3.0-2.4","img/grizzly.png","","","2"
"null","","html-keyboard-response","30","262201","0.0-3.0-3.4","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","31","263203","0.0-3.0-4.4","img/lost.png","","","null"
"null","","html-keyboard-response","32","264704","0.0-3.0-5.4","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"4358.699999999721","","image-keyboard-response","33","269066","0.0-3.0-0.5","img/rock.png","","","2"
"null","","html-keyboard-response","34","270567","0.0-3.0-1.5","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1994","","image-keyboard-response","35","272563","0.0-3.0-2.5","img/cat.png","","","1"
"null","","html-keyboard-response","36","274065","0.0-3.0-3.5","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","37","275068","0.0-3.0-4.5","img/won.png","","","null"
"null","","html-keyboard-response","38","276569","0.0-3.0-5.5","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
